Winner,Score,P,TU,I,B,PPB,Loser,Score
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Biotech A",505,6,10,1,320,20.00,Downingtown STEM B,75
"
Wilmington Charter A",530,10,4,0,340,24.29,Downingtown STEM A,155
"
Olin Bose",510,9,5,1,330,23.57,Ithaca A,160
"
Chapin School A",325,5,6,0,190,17.27,Ridgewood B,170
"
River Dell",295,5,5,0,170,17.00,Ithaca B,190
"
High Tech A",350,7,3,3,230,23.00,Princeton High,285
"
Watchung Hills",300,4,6,2,190,19.00,Wissahickon A,245
"
Millburn",255,3,6,0,150,16.67,Wissahickon B,200
"
John P. Stevens",245,2,7,5,170,18.89,High Tech B,195
"
West Windsor-Plainsboro North B",165,1,8,4,90,10.00,Wissahickon C,120
"
Ridgewood A",330,3,7,3,230,23.00,Ranney,295
"
Immaculata",200,1,8,1,110,12.22,Chapin School B,175
"
Wilmington Charter B",260,2,7,0,160,17.78,Pingry,240
"
Biotech C",240,2,7,2,150,16.67,Downingtown STEM C,225
"
Biotech B",270,6,3,2,160,17.78,West Windsor-Plainsboro North A,260
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Ridgewood A",480,10,4,0,290,20.71,Downingtown STEM B,130
"
Biotech C",395,3,12,2,240,16.00,Wissahickon C,45
"
Wilmington Charter A",525,13,1,0,320,22.86,Olin Bose,185
"
Downingtown STEM A",425,6,5,3,300,27.27,Biotech B,215
"
Millburn",350,4,8,0,210,17.50,Pingry,160
"
Watchung Hills",330,3,10,3,200,15.38,Ithaca B,145
"
Ithaca A",395,4,7,1,270,24.55,West Windsor-Plainsboro North A,235
"
River Dell",290,5,4,1,180,20.00,John P. Stevens,145
"
Ridgewood B",310,1,10,3,210,19.09,Wissahickon B,175
"
High Tech A",355,5,5,4,250,25.00,Ranney,260
"
Wilmington Charter B",240,1,8,3,160,17.78,Chapin School A,210
"
Downingtown STEM C",190,1,8,1,100,11.11,Immaculata,160
"
Princeton High",330,3,6,1,230,25.56,Biotech A,305
"
Chapin School B",220,5,4,1,110,12.22,West Windsor-Plainsboro North B,195
"
Wissahickon A",265,4,4,3,180,22.50,High Tech B,260
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Downingtown STEM A",565,8,6,1,390,27.86,Olin Bose,205
"
High Tech A",485,8,4,1,330,27.50,Ridgewood A,255
"
Biotech B",415,4,8,3,290,24.17,Ithaca A,200
"
Wilmington Charter A",410,5,6,3,290,26.36,West Windsor-Plainsboro North A,240
"
Watchung Hills",350,4,8,2,220,18.33,High Tech B,180
"
Wissahickon B",270,1,9,1,170,17.00,Pingry,155
"
Princeton High",305,4,7,3,190,17.27,Downingtown STEM B,205
"
West Windsor-Plainsboro North B",200,0,8,6,150,18.75,Immaculata,125
"
Wissahickon A",335,4,7,1,210,19.09,River Dell,270
"
Biotech A",355,6,4,1,230,23.00,Ranney,295
"
Chapin School A",265,1,8,4,190,21.11,Millburn,205
"
John P. Stevens",220,2,6,6,160,20.00,Ithaca B,165
"
Chapin School B",255,3,7,2,150,15.00,Biotech C,200
"
Wilmington Charter B",300,3,6,1,200,22.22,Ridgewood B,255
"
Downingtown STEM C",195,0,8,1,120,15.00,Wissahickon C,160
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Wilmington Charter A",575,8,7,3,400,26.67,Ithaca A,125
"
High Tech B",410,4,10,0,250,17.86,Ithaca B,135
"
Downingtown STEM A",450,11,2,3,280,21.54,West Windsor-Plainsboro North A,205
"
Wilmington Charter B",330,2,10,2,210,17.50,Wissahickon B,115
"
High Tech A",405,7,5,6,280,23.33,Downingtown STEM B,210
"
Ranney",400,3,9,1,270,22.50,Princeton High,220
"
John P. Stevens",320,1,11,1,200,16.67,Wissahickon A,170
"
Pingry",275,2,8,3,180,18.00,Chapin School A,130
"
Immaculata",155,1,6,2,90,12.86,Wissahickon C,60
"
Ridgewood A",380,6,4,2,260,26.00,Biotech A,310
"
Biotech B",380,4,6,0,260,26.00,Olin Bose,320
"
Ridgewood B",290,6,4,2,170,17.00,Millburn,240
"
Watchung Hills",190,2,6,2,110,13.75,River Dell,170
"
Biotech C",250,1,8,1,160,17.78,West Windsor-Plainsboro North B,240
"
Chapin School B",130,2,4,2,70,11.67,Downingtown STEM C,125
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Wilmington Charter A",395,8,3,1,250,22.73,High Tech A,295
"
Ridgewood A",360,6,5,4,240,21.82,Downingtown STEM A,270
