Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Kellenberg",395,0,17,3,240,14.12,Kings Park D,-5,0,0,1,0,0.00,20
"
Middlesex Middle A",470,7,8,1,290,19.33,North Babylon A,105,2,2,3,70,17.50,20
"
Darien A",460,10,4,4,290,20.71,Half Hollow Hills West,145,1,5,0,80,13.33,20
"
Livingston A",410,8,4,4,270,22.50,South Side A,140,1,5,1,80,13.33,20
"
Bronx Science",440,8,4,0,280,23.33,Kings Park B,175,4,3,1,90,12.86,20
"
Ward Melville B",290,3,7,1,180,18.00,Half Hollow Hills East,40,0,3,0,10,3.33,20
"
Ward Melville A",330,5,6,3,210,19.09,Heritage Middle B,160,3,3,1,90,15.00,20
"
Great Neck South",245,3,8,0,120,10.91,Greens Farms B,95,0,5,3,60,12.00,20
"
Wilton",265,2,8,1,160,16.00,Kings Park C,145,1,6,4,90,12.86,20
"
Hopkins",245,1,9,0,140,14.00,Heritage Middle A,230,3,5,3,150,18.75,20
"
Kings Park A",280,4,6,2,170,17.00,Darien B,275,5,4,0,160,17.78,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Heritage Middle B",345,1,11,2,230,19.17,Great Neck South,20,0,3,2,0,0.00,20
"
Ward Melville A",395,3,10,2,260,20.00,Livingston A,110,3,1,5,80,20.00,20
"
Middlesex Middle A",430,3,12,1,270,18.00,Kings Park A,145,1,4,2,100,20.00,20
"
Darien B",355,6,4,1,230,23.00,Ward Melville B,100,1,5,1,40,6.67,20
"
Greens Farms B",260,0,11,0,150,13.64,Kings Park D,80,1,4,1,30,6.00,20
"
Heritage Middle A",300,0,12,2,190,15.83,South Side A,135,1,3,2,100,25.00,20
"
Darien A",420,7,5,5,290,24.17,Eastchester,260,1,7,3,190,23.75,20
"
Wilton",265,2,7,1,170,18.89,Half Hollow Hills West,140,0,7,2,80,11.43,20
"
Bronx Science",265,3,7,2,160,16.00,Middlesex Middle B,160,2,4,2,100,16.67,20
"
Kings Park C",220,3,6,1,120,13.33,North Babylon B,140,0,7,0,70,10.00,20
"
North Babylon A",295,2,9,1,180,16.36,Kellenberg,245,2,7,3,160,17.78,20
"
Greens Farms A",235,3,8,4,130,11.82,Kings Park B,210,0,8,2,140,17.50,20
"
Hastings",345,6,4,1,220,22.00,Hightstown,325,6,4,1,200,20.00,20
"
Half Hollow Hills East",85,1,6,0,10,1.43,South Side B,70,0,5,0,20,4.00,20
"
Hopkins",245,1,9,0,140,14.00,Livingston B,230,3,6,1,130,14.44,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Kings Park C",330,1,11,1,210,17.50,Kings Park D,15,0,1,1,10,10.00,20
"
Darien B",445,4,9,1,300,23.08,Half Hollow Hills West,175,3,4,0,90,12.86,20
"
Heritage Middle B",350,2,11,2,220,16.92,South Side A,90,1,3,1,50,12.50,20
"
Darien A",455,7,6,2,300,23.08,Kellenberg,205,1,6,0,130,18.57,20
"
Hopkins",290,5,6,3,170,15.45,Great Neck South,105,2,4,1,40,6.67,20
"
Hastings",410,6,6,0,260,21.67,Middlesex Middle A,230,6,2,2,130,16.25,20
