Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Camp Hill",180,0,9,0,90,10.00,Lakeland,95
"
Wallenpaupack B",125,0,6,1,70,11.67,Danville B,80
"
Midd-West B",155,1,5,0,90,15.00,Montgomery B,140
"
Manheim Township B",215,0,8,3,150,18.75,Wallenpaupack A,205
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Wilmington Charter",675,5,14,0,460,24.21,Emmaus A,10
"
Manheim Township A",410,1,12,3,290,22.31,Wallenpaupack A,160
"
Berwick B",245,1,9,0,140,14.00,Midd-West A,65
"
Manheim Township C",270,1,10,1,160,14.55,Danville A,115
"
Henderson A",395,5,7,2,260,21.67,Cedar Crest A,245
"
Berwick A",240,1,10,1,130,11.82,Emmaus B,95
"
Henderson B",310,2,9,2,200,18.18,Henderson C,210
"
Cedar Crest B",210,0,10,0,110,11.00,Montgomery A,120
"
Lakeland",160,0,8,0,80,10.00,Danville B,95
"
Wallenpaupack B",160,2,5,0,80,11.43,Montgomery B,100
"
Camp Hill",120,0,5,0,70,14.00,Midd-West B,80
"
Manheim Township B",175,0,7,1,110,15.71,Crestwood,150
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Henderson A",475,9,3,2,320,26.67,Henderson B,230
"
Henderson C",395,4,8,1,260,21.67,Emmaus A,190
"
Wilmington Charter",430,6,6,0,280,23.33,Cedar Crest A,270
"
Camp Hill",220,0,9,0,130,14.44,Danville B,95
"
Manheim Township C",275,1,10,0,160,14.55,Montgomery A,200
"
Manheim Township B",290,1,10,1,180,16.36,Manheim Township A,220
"
Crestwood",165,1,8,2,80,8.89,Emmaus B,100
"
Berwick B",170,0,6,0,110,18.33,Cedar Crest B,140
"
Lakeland",145,0,9,1,60,6.67,Montgomery B,115
"
Wallenpaupack B",130,1,8,1,40,4.44,Midd-West B,100
"
Midd-West A",220,0,9,0,130,14.44,Danville A,195
"
Wallenpaupack A",210,4,4,0,110,13.75,Berwick A,205
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Wallenpaupack A",300,4,7,2,180,16.36,Emmaus B,110
"
Manheim Township A",390,6,6,4,260,21.67,Crestwood,220
"
Henderson A",430,7,5,1,280,23.33,Wilmington Charter,270
"
Henderson B",370,4,8,2,240,20.00,Emmaus A,220
"
Danville B",170,1,7,1,90,11.25,Midd-West B,55
"
Manheim Township C",235,3,7,2,130,13.00,Midd-West A,125
"
Henderson C",335,3,8,0,210,19.09,Cedar Crest A,230
"
Cedar Crest B",205,2,8,1,100,10.00,Danville A,105
"
Montgomery A",195,1,8,2,110,12.22,Berwick B,135
"
Lakeland",150,0,7,0,80,11.43,Wallenpaupack B,90
"
Camp Hill",185,1,9,0,80,8.00,Montgomery B,140
"
Manheim Township B",205,5,4,2,100,11.11,Berwick A,170
