"
Port Jefferson",240,1,8,1,150,16.67,Darien B,180,2,6,2,100,12.50,20
"
Livingston B",370,8,3,0,220,20.00,Belmont,350,5,4,1,240,26.67,20
"
Livingston C",275,4,5,1,170,18.89,Great Neck North,265,4,5,1,160,17.78,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Livingston A",520,11,4,1,320,21.33,Clarke,45,1,2,0,10,3.33,20
"
Livingston B",395,3,12,4,250,16.67,Livingston D,15,0,1,1,10,10.00,20
"
Hastings A",455,4,10,3,310,22.14,Livingston C,100,1,2,3,80,26.67,20
"
Belmont",495,10,5,1,300,20.00,Darien B,150,2,3,0,90,18.00,20
"
Darien A",440,4,10,2,290,20.71,Princeton High,165,3,3,2,100,16.67,20
"
Wissahickon",425,3,10,2,290,22.31,Port Jefferson,155,0,6,3,110,18.33,20
"
Wilton",395,4,9,1,250,19.23,Hopkins,145,1,5,2,90,15.00,20
"
Scarsdale",335,2,10,1,210,17.50,Great Neck North,160,2,4,2,100,16.67,20
"
Kellenberg",235,2,9,3,130,11.82,West Essex,85,1,4,0,30,6.00,20
"
Hastings B (OT)",255,1,9,2,160,17.78,North Quincy,245,1,8,2,160,17.78,21
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
North Quincy",460,3,11,1,310,22.14,Livingston D,95,0,5,3,60,12.00,20
"
Hastings B",425,4,10,1,270,19.29,Port Jefferson,125,1,4,2,80,16.00,20
"
Belmont",460,6,7,2,310,23.85,Hopkins,210,1,6,1,140,20.00,20
"
Scarsdale",360,3,10,1,220,16.92,Clarke,130,2,3,0,70,14.00,20
"
Great Neck North",285,2,9,3,180,16.36,West Essex,90,0,4,0,50,12.50,20
"
Livingston A",400,6,7,0,240,18.46,Hastings A,245,2,5,1,170,24.29,20
"
Darien A",325,2,9,5,230,20.91,Livingston C,200,1,6,1,130,18.57,20
