Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Weston",320,4,6,2,210,21.00,Westwood,250,3,6,1,150,16.67,20
"
Lexington",345,8,2,1,210,21.00,Hopkinton,300,5,4,3,200,22.22,20
"
Shrewsbury",Forfeit, , , , , ,Littleton,Forfeit, , , , , ,-
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Westwood",505,6,9,1,330,22.00,Belmont C,85,2,2,1,40,10.00,20
"
Mansfield A",470,9,7,3,280,17.50,St. John's Shrewsbury,95,2,2,1,50,12.50,20
"
Belmont A",500,8,4,2,350,29.17,Weston,175,3,2,2,120,24.00,20
"
Acton-Boxborough",390,6,6,0,240,20.00,Lexington,220,3,4,5,160,22.86,20
"
Hopkinton",365,6,6,3,230,19.17,Westfield,235,1,6,2,170,24.29,20
"
Bishop Stang",195,3,5,0,100,12.50,Tantasqua,100,0,6,2,50,8.33,20
"
Frontier Regional B",160,0,8,0,80,10.00,Marlborough,100,0,6,0,40,6.67,20
"
Belmont B",235,6,2,3,140,17.50,Mansfield B,205,1,9,2,110,11.00,20
"
Brookline",165,3,3,0,90,15.00,Charlemont Academy,150,0,7,0,80,11.43,20
"
Shrewsbury",135,1,6,2,70,10.00,Frontier Regional A,130,1,5,3,80,13.33,20
"
Wellesley High",Forfeit, , , , , ,Littleton,Forfeit, , , , , ,-
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Lexington",590,15,2,1,350,20.59,Belmont B,100,2,1,0,60,20.00,20
"
Acton-Boxborough",445,7,7,0,270,19.29,Westfield,125,2,4,3,70,11.67,20
"
Mansfield A",370,4,9,2,230,17.69,Belmont C,115,2,3,1,60,12.00,20
"
Hopkinton",340,4,8,4,220,18.33,Mansfield B,105,1,6,0,30,4.29,20
"
Weston",425,7,7,2,260,18.57,St. John's Shrewsbury,195,4,2,1,120,20.00,20
"
Belmont A",420,10,1,4,280,25.45,Westwood,270,3,5,1,180,22.50,20
"
Brookline",210,3,6,1,110,12.22,Frontier Regional B,160,3,3,1,90,15.00,20
"
Shrewsbury",195,3,7,0,80,8.00,Marlborough,145,1,6,0,70,10.00,20
"
Frontier Regional A",235,5,4,0,120,13.33,Wellesley High,210,3,7,1,100,10.00,20
"
Charlemont Academy",Forfeit, , , , , ,Tantasqua,Forfeit, , , , , ,-
"
Bishop Stang",Forfeit, , , , , ,Littleton,Forfeit, , , , , ,-
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Acton-Boxborough",555,3,13,2,390,24.38,Mansfield B,100,1,3,1,60,15.00,20
"
Westwood",495,9,6,0,300,20.00,Mansfield A,115,2,2,1,70,17.50,20
"
Belmont A",450,7,6,3,300,23.08,St. John's Shrewsbury,110,1,4,1,60,12.00,20
"
Weston",415,4,9,1,270,20.77,Belmont C,125,1,3,0,80,20.00,20
"
Wellesley High",345,6,7,1,190,14.62,Brookline,95,2,1,3,70,23.33,20
"
Lexington",415,7,5,2,270,22.50,Westfield,205,3,4,0,120,17.14,20
"
Charlemont Academy",295,1,10,0,180,16.36,Frontier Regional B,130,0,5,0,80,16.00,20
"
Hopkinton",295,4,5,3,200,22.22,Belmont B,175,3,4,2,100,14.29,20
"
Bishop Stang",220,3,7,1,110,11.00,Shrewsbury,105,1,4,0,50,10.00,20
"
Frontier Regional A",Forfeit, , , , , ,Littleton,Forfeit, , , , , ,-
"
Marlborough",Forfeit, , , , , ,Tantasqua,Forfeit, , , , , ,-
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Belmont A",720,13,6,1,470,24.74,Belmont C,30,0,1,0,20,20.00,20
"
Lexington",500,9,5,5,340,24.29,Mansfield B,155,3,3,0,80,13.33,20
"
Belmont B",330,3,11,1,180,12.86,Westfield,115,2,2,3,80,20.00,20
"
Wellesley High",280,2,8,2,180,18.00,Shrewsbury,115,1,4,0,60,12.00,20
"
Weston",360,3,8,3,250,22.73,Mansfield A,210,1,7,1,130,16.25,20
"
Westwood",265,5,4,2,160,17.78,St. John's Shrewsbury,120,2,4,2,60,10.00,20
"
Frontier Regional A",280,6,3,2,170,18.89,Bishop Stang,145,0,7,1,80,11.43,20
"
Acton-Boxborough",305,1,10,0,190,17.27,Hopkinton,210,2,5,8,170,24.29,20
"
Charlemont Academy",Forfeit, , , , , ,Littleton,Forfeit, , , , , ,-
"
Brookline",Forfeit, , , , , ,Marlborough,Forfeit, , , , , ,-
"
Frontier Regional B",Forfeit, , , , , ,Tantasqua,Forfeit, , , , , ,-
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Lexington",365,7,4,4,240,21.82,Weston,195,3,4,2,120,17.14,20
"
Belmont A",410,6,5,4,290,26.36,Acton-Boxborough,280,4,4,0,180,22.50,20
