"
Tussey Mountain",195,Chestnut Ridge,0
"
Hollidaysburg",150,Everett,20
"
Williamsburg",100,Tyrone,30
Winner,Score,Loser,Score
"
Altoona",155,Chestnut Ridge,30
"
Bedford",155,HOPE for Hyndman,40
"
Everett",85,Claysburg-Kimmel,50
Winner,Score,Loser,Score
"
Hollidaysburg",195,Bedford,130
"
Altoona",110,Bishop Guilfoyle B,95
Winner,Score,Loser,Score
"
Altoona",160,Bishop Guilfoyle B,55
"
Bedford",150,Hollidaysburg,100
Winner,Score,Loser,Score
"
Hollidaysburg",145,Bedford,130
Winner,Score,Loser,Score
"
Altoona",180,Hollidaysburg,75
Winner,Score,Loser,Score
"
Altoona",210,Hollidaysburg,105
Winner,Score,Loser,Score
"
Hollidaysburg",195,Altoona,65
Winner,Score,Loser,Score
"
Hollidaysburg",180,Altoona,130
Winner,Score,Loser,Score
"
Hollidaysburg",155,Altoona,115
