Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Ridgewood A",440,0,17,0,270,15.88,East Brunswick E,5
"
Hunter B",490,6,10,2,310,19.38,Livingston J,55
"
Eastchester",445,3,12,2,290,19.33,Ranney B,40
"
Darien A",460,3,12,1,300,20.00,East Brunswick A,100
"
Livingston F",375,4,11,3,220,14.67,Morristown-Beard,20
"
Biotech A",385,3,10,4,260,20.00,Livingston G,35
"
Mountain Lakes A",375,4,10,1,220,15.71,Randolph,70
"
Pingry",275,3,11,2,130,9.29,Jonathan Dayton A,0
"
Hastings B",330,3,10,3,200,15.38,Leonia,80
"
Seton Hall Prep A",275,2,10,1,150,12.50,West Essex B,30
"
Hightstown A",330,4,10,2,180,12.86,St. Peter's Prep,85
"
Edison Academy",295,3,8,2,180,16.36,Jonathan Dayton B,60
"
Livingston C",355,0,14,1,220,15.71,Westfield,120
"
Mountain Lakes C",250,2,9,0,130,11.82,Immaculata,40
"
East Brunswick C",240,1,11,1,120,10.00,West Essex A,35
"
Bronx Science",265,3,8,0,140,12.73,Seton Hall Prep B,95
"
Biotech B",290,1,9,1,190,19.00,East Brunswick D,140
"
John P. Stevens A",245,0,10,1,150,15.00,Hunter C,100
"
Livingston B",345,2,9,3,240,21.82,Darien B,200
"
Ranney A",270,0,13,2,150,11.54,Mountain Lakes B,125
"
Choate",225,4,4,1,130,16.25,Edison B,100
"
Atlantic City",140,0,9,0,50,5.56,West Windsor-Plainsboro North,30
"
Livingston H",190,0,9,0,100,11.11,John P. Stevens B,85
"
Ridgewood B",210,2,8,0,100,10.00,Livingston I,105
"
Livingston D",230,3,7,1,120,12.00,Peddie,155
"
Princeton High",200,2,7,6,130,14.44,Watchung Hills,125
"
Wilmington Charter",185,2,8,1,80,8.00,Bloomfield,120
"
Hightstown B",175,1,9,0,70,7.00,Livingston E,115
"
Hastings A",255,3,6,4,170,18.89,Edison A,235
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Livingston A",660,8,9,2,460,27.06,Mountain Lakes C,50
"
Livingston B",600,2,15,2,430,25.29,West Windsor-Plainsboro North,25
"
Hastings A",545,5,11,4,380,23.75,West Essex A,55
"
Hunter A",565,3,12,0,400,26.67,Bronx Science,100
"
Hightstown A",460,3,14,1,280,16.47,Heritage Middle B,30
"
Eastchester",495,3,13,0,320,20.00,Livingston I,95
"
Darien A",440,1,14,1,290,19.33,Hightstown B,95
"
Darien B",410,3,11,5,280,20.00,Pingry,70
"
Biotech A",385,4,10,3,240,17.14,John P. Stevens A,65
"
Ridgewood A",315,0,12,1,200,16.67,Livingston G,0
"
Ranney A",370,3,10,1,230,17.69,Heritage Middle A,110
"
Livingston E",260,3,11,3,120,8.57,West Essex B,15
"
Mountain Lakes B",275,1,10,0,160,14.55,Morristown-Beard,90
"
Choate",230,4,7,4,120,10.91,Immaculata,50
"
Peddie",320,2,10,2,200,16.67,Wilmington Charter,140
"
Watchung Hills",260,1,11,1,140,11.67,Ridgewood B,90
"
Mountain Lakes A",325,3,9,2,200,16.67,Livingston C,175
"
Hunter C",190,0,9,2,110,12.22,East Brunswick E,45
"
East Brunswick A",255,1,10,4,160,14.55,Seton Hall Prep A,110
"
Livingston D",270,0,12,2,160,13.33,Jonathan Dayton B,130
"
Edison Academy",265,4,7,1,140,12.73,Bloomfield,135
"
Hastings B",275,1,8,2,190,21.11,St. Peter's Prep,155
"
Hunter B",355,4,7,1,230,20.91,Edison A,240
"
Bergen Academies",170,1,8,1,80,8.89,Edison B,60
"
East Brunswick B",195,0,10,5,120,12.00,Livingston H,85
"
East Brunswick C",165,0,9,3,90,10.00,Livingston J,60
"
East Brunswick D",165,2,7,1,70,7.78,Randolph,90
"
Princeton High",210,1,10,1,100,9.09,Ranney B,150
"
Biotech B",145,0,8,1,70,8.75,Westfield,115
"
Atlantic City",50,0,4,2,20,5.00,Jonathan Dayton A,35
"
John P. Stevens B",150,0,8,2,80,10.00,Seton Hall Prep B,145
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Livingston A",725,12,6,1,490,27.22,Hightstown B,50
