Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
High Tech A",380,7,6,3,230,17.69,Kings Park A,190,2,5,2,120,17.14,20
"
Mountain Lakes",345,2,9,5,250,22.73,Stuyvesant,175,1,7,2,100,12.50,20
"
Darien C",345,3,9,0,210,17.50,High Tech C,195,4,2,1,120,20.00,20
"
Hopkins",405,8,3,1,260,23.64,Darien A,305,4,5,3,210,23.33,20
"
Kings Park D",185,1,7,2,110,13.75,Seton Hall Prep B,160,2,6,2,80,10.00,20
"
Bronx Science",310,3,6,5,230,25.56,Clarke,300,4,6,0,180,18.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Livingston A",550,11,4,1,350,23.33,Darien D,55,1,2,2,30,10.00,20
"
Hopkins",485,6,9,3,320,21.33,Kings Park D,10,0,1,0,0,0.00,20
"
Greens Farms A",495,8,9,1,290,17.06,High Tech C,50,1,2,3,30,10.00,20
"
Darien A",530,9,7,1,330,20.62,Hastings B,100,1,2,1,70,23.33,20
"
Woodland",465,8,6,1,290,20.71,Seton Hall Prep A,80,1,4,1,30,6.00,20
"
Bronx Science",435,6,8,1,270,19.29,Darien C,125,3,2,2,70,14.00,20
"
High Tech A",500,9,4,3,340,26.15,Kellenberg A,195,4,2,3,130,21.67,20
"
Hastings A",390,7,5,5,260,21.67,Great Neck South,110,0,5,0,60,12.00,20
"
Port Jefferson",355,5,8,4,220,16.92,Kings Park C,125,1,4,0,70,14.00,20
"
Mountain Lakes",430,6,7,2,280,21.54,High Tech B,205,4,2,1,130,21.67,20
"
Staples",405,10,2,1,240,20.00,Darien B,230,0,8,0,150,18.75,20
"
Kings Park A",260,3,8,1,140,12.73,North Babylon B,130,2,3,0,70,14.00,20
"
Greens Farms B",215,3,6,4,130,14.44,South Side B,85,1,4,0,30,6.00,20
"
Clarke",295,2,7,1,200,22.22,Kellenberg B,180,5,1,1,100,16.67,20
"
North Babylon A",260,4,5,2,160,17.78,Seton Hall Prep B,195,3,5,2,110,13.75,20
"
Middlesex Middle A",275,5,4,4,180,20.00,Livingston B,210,4,3,2,130,18.57,20
"
Stuyvesant",245,3,6,0,140,15.56,Kings Park B,195,3,5,0,100,12.50,20
"
Middlesex Middle B",190,0,8,0,110,13.75,South Side A,140,3,5,3,60,7.50,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
High Tech A",535,9,5,2,360,25.71,Hopkins,180,3,3,1,110,18.33,20
"
Greens Farms A",430,6,8,0,260,18.57,Kellenberg A,175,1,5,2,120,20.00,20
"
Stuyvesant",425,2,12,1,280,20.00,Port Jefferson,170,3,2,5,130,26.00,20
"
Clarke",385,2,9,1,270,24.55,Greens Farms B,170,5,2,1,80,11.43,20
"
Darien D",355,3,10,2,220,16.92,Kings Park C,150,6,0,0,60,10.00,20
"
North Babylon A",385,5,8,4,250,19.23,Kings Park A,180,1,5,1,120,20.00,20
"
High Tech C",275,2,9,3,170,15.45,South Side B,80,0,4,0,40,10.00,20
"
Darien B",425,8,3,3,290,26.36,High Tech B,245,4,3,1,160,22.86,20
"
Darien A",420,7,5,1,270,22.50,Bronx Science,255,2,6,3,180,22.50,20
"
Kellenberg B",255,0,10,1,160,16.00,Great Neck South,100,1,3,3,70,17.50,20
"
Seton Hall Prep B",175,0,9,7,120,13.33,North Babylon B,90,0,4,2,60,15.00,20
"
Hastings A",380,6,5,2,250,22.73,Darien C,310,4,5,0,200,22.22,20
"
Woodland",390,4,6,0,270,27.00,Staples,325,7,3,6,220,22.00,20
"
Hastings B",275,2,7,1,180,20.00,Middlesex Middle B,210,1,8,1,120,13.33,20
"
Kings Park D",220,0,10,2,130,13.00,South Side A,165,0,6,3,120,20.00,20
"
Kings Park B",255,1,8,0,160,17.78,Seton Hall Prep A,220,1,7,1,140,17.50,20
"
Livingston B",350,2,9,0,230,20.91,Mountain Lakes,320,6,3,2,210,23.33,20
"
Livingston A",345,5,5,2,230,23.00,Middlesex Middle A,330,6,4,2,210,21.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Darien B",620,11,5,3,420,26.25,Greens Farms B,50,1,1,1,30,15.00,20
"
Hastings A",490,9,5,1,310,22.14,Port Jefferson,75,1,2,2,50,16.67,20
"
Livingston A",525,7,7,0,350,25.00,Bronx Science,155,3,2,2,100,20.00,20
"
Kings Park B",385,3,10,0,240,18.46,Kings Park D,30,0,1,2,30,30.00,20
"
Woodland",480,10,4,2,300,21.43,Mountain Lakes,180,4,2,2,110,18.33,20
"
High Tech C",315,1,10,0,200,18.18,North Babylon B,80,0,3,0,50,16.67,20
