Winner,Score,P,TU,I
"
Brophy College Prep",245,0,10,1
"
Herberger",340,5,5,1
Winner,Score,P,TU,I
"
Herberger",345,2,10,1
"
BASIS Scottsdale",245,2,9,1
Winner,Score,P,TU,I
"
Herberger",355,2,10,1
"
BASIS Scottsdale",180,0,8,0
Winner,Score,P,TU,I
"
Herberger",400,6,6,0
"
Hamilton B",160,2,4,2
