Winner,Score,Loser,Score
"
Hollidaysburg",340,Bishop McCort,240
Winner,Score,Loser,Score
"
Bishop McCort",425,Hollidaysburg,200
Winner,Score,Loser,Score
"
Hollidaysburg",315,Bishop McCort,295
Winner,Score,Loser,Score
"
Bishop McCort (OT)",295,Hollidaysburg,275
Winner,Score,Loser,Score
"
Bishop McCort",245,Hollidaysburg,235
