Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Clarke",335,1,13,2,200,14.29,Leonia B,70,0,4,2,40,10.00,20
"
Darien B",480,5,7,3,350,29.17,Staples,250,4,3,4,180,25.71,20
"
Livingston D",390,2,11,0,250,19.23,King School Stamford B,170,2,4,2,110,18.33,20
"
Ardsley",240,1,8,1,150,16.67,Leonia A,120,0,5,2,80,16.00,20
"
Edison",320,8,2,6,210,21.00,West Windsor-Plainsboro North B,215,5,4,0,100,11.11,20
"
King School Stamford A",335,1,10,2,230,20.91,Greens Farms A,300,3,6,3,210,23.33,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Livingston A",780,10,9,0,540,28.42,Clarke,15,0,1,1,10,10.00,20
"
Bronx Science",725,8,11,1,500,26.32,Leonia B,20,0,1,0,10,10.00,20
"
Wilton",655,9,8,0,440,25.88,West Windsor-Plainsboro North B,55,2,0,1,30,15.00,20
"
West Windsor-Plainsboro North A",615,7,10,0,410,24.12,Livingston E,100,1,2,1,70,23.33,20
"
Darien A",650,12,4,0,430,26.88,Somers A,140,1,3,1,100,25.00,20
"
Greens Farms A",490,4,11,2,330,22.00,Livingston F,70,0,2,0,50,25.00,20
"
Livingston C",535,7,9,2,350,21.88,Hastings,135,2,2,1,90,22.50,20
"
Darien B",520,8,7,2,340,22.67,King School Stamford A,190,3,2,1,130,26.00,20
"
Horace Greeley A",395,4,8,1,260,21.67,Somers B,145,1,5,2,90,15.00,20
"
Ardsley",285,2,9,3,180,16.36,Horace Greeley B,45,1,1,0,20,10.00,20
"
Edgemont A",420,3,10,1,280,21.54,Leonia A,200,3,4,3,130,18.57,20
"
North Babylon B",275,0,12,3,170,14.17,Scarsdale B,90,2,2,4,60,15.00,20
"
Ridgewood A",390,7,3,1,260,26.00,Staples,245,5,2,4,170,24.29,20
"
Scarsdale A",325,4,6,3,220,22.00,Livingston D,210,2,7,4,130,14.44,20
"
Edison",415,8,4,3,270,22.50,North Babylon A,305,4,4,1,210,26.25,20
"
Darien C",360,2,8,2,260,26.00,Ridgewood B,270,5,4,3,170,18.89,20
"
Woodland",395,6,5,3,270,24.55,Livingston B,325,6,3,1,210,23.33,20
"
Edgemont B",275,2,8,1,170,17.00,King School Stamford B,205,1,7,2,130,16.25,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
King School Stamford A",440,7,7,1,270,19.29,North Babylon B,140,1,5,1,80,13.33,20
"
Leonia A",400,2,11,0,260,20.00,West Windsor-Plainsboro North B,110,1,4,3,70,14.00,20
"
Livingston C",390,3,9,5,280,23.33,Livingston E,155,1,6,0,80,11.43,20
"
Livingston A",495,8,5,1,330,25.38,Darien B,260,5,2,1,170,24.29,20
"
Bronx Science",445,5,7,2,310,25.83,Woodland,250,5,3,1,150,18.75,20
"
Darien A",475,9,3,0,310,25.83,Wilton,280,6,2,2,180,22.50,20
"
Livingston D",320,3,9,1,190,15.83,Darien C,155,0,7,3,100,14.29,20
"
North Babylon A",295,3,8,2,180,16.36,Ardsley,135,2,4,3,80,13.33,20
"
West Windsor-Plainsboro North A",435,6,6,1,290,24.17,Staples,280,5,3,3,190,23.75,20
"
Ridgewood B",335,2,9,1,220,20.00,Somers A,205,3,4,2,130,18.57,20
"
King School Stamford B",300,3,6,3,210,23.33,Leonia B,175,2,6,1,90,11.25,20
"
Horace Greeley A",355,6,5,1,220,20.00,Ridgewood A,235,1,6,2,170,24.29,20
"
Livingston B",405,5,6,0,270,24.55,Edison,285,6,3,1,170,18.89,20
"
Hastings",215,2,8,1,110,11.00,Horace Greeley B,120,2,5,0,40,5.71,20
"
Scarsdale A",325,3,9,4,210,17.50,Edgemont A,240,1,6,1,170,24.29,20
"
Clarke",225,2,9,1,110,10.00,Edgemont B,145,1,7,4,80,10.00,20
"
Scarsdale B",240,2,8,2,140,14.00,Livingston F,175,0,7,1,110,15.71,20
"
Greens Farms A",305,4,6,3,200,20.00,Somers B,280,0,10,0,180,18.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Ridgewood A",425,4,11,1,260,17.33,Ardsley,75,2,2,1,30,7.50,20
"
Livingston C",400,1,13,1,260,18.57,Ridgewood B,135,0,6,1,80,13.33,20
"
Somers A",335,4,10,1,180,12.86,North Babylon B,90,0,5,2,50,10.00,20
"
Wilton",450,8,5,0,280,21.54,West Windsor-Plainsboro North A,230,3,4,1,150,21.43,20
"
Darien B",465,9,3,2,310,25.83,Woodland,270,3,4,1,190,27.14,20
"
King School Stamford A",350,3,8,3,240,21.82,Livingston E,160,2,5,2,90,12.86,20
"
Darien A",420,5,7,3,290,24.17,Scarsdale A,235,3,5,2,150,18.75,20
"
Edgemont A",365,5,7,0,220,18.33,Staples,185,3,3,4,130,21.67,20
"
Bronx Science",405,6,6,1,260,21.67,Edison,275,3,5,2,190,23.75,20
"
Somers B",235,3,8,0,110,10.00,Edgemont B,125,0,7,1,60,8.57,20
"
Hastings",230,0,10,0,130,13.00,Leonia B,120,1,6,3,60,8.57,20
"
Livingston F",195,0,10,1,100,10.00,Horace Greeley B,110,0,7,0,40,5.71,20
"
Horace Greeley A",285,4,6,1,170,17.00,Livingston D,240,2,7,0,140,15.56,20
"
Leonia A",235,0,10,3,150,15.00,Greens Farms A,195,4,5,3,100,11.11,20
"
Livingston A",380,8,2,2,250,25.00,Livingston B,345,6,3,1,230,25.56,20
"
West Windsor-Plainsboro North B",155,1,7,2,80,10.00,Clarke,120,2,4,2,60,10.00,20
"
Darien C",230,2,7,2,140,15.56,North Babylon A,215,2,7,3,130,14.44,20
"
King School Stamford B (OT)",235,4,6,1,120,13.33,Scarsdale B,220,0,9,0,130,14.44,21
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Woodland",510,8,6,2,340,24.29,Livingston B,170,1,4,5,140,28.00,20
"
Livingston E",305,1,9,0,200,20.00,North Babylon B,70,0,3,4,60,20.00,20
"
Scarsdale B",305,2,8,1,200,20.00,Horace Greeley B,90,0,4,0,50,12.50,20
"
Greens Farms A",345,4,8,1,210,17.50,Clarke,130,1,6,1,60,8.57,20
"
Hastings",320,2,9,0,200,18.18,King School Stamford B,125,4,1,3,70,14.00,20
"
Livingston A",450,5,7,3,320,26.67,Edison,260,5,3,3,170,21.25,20
"
Livingston C",400,3,9,1,270,22.50,Somers A,230,4,3,4,160,22.86,20
"
Livingston F",310,0,10,0,210,21.00,Leonia B,145,2,4,1,80,13.33,20
"
Leonia A",300,6,4,2,180,18.00,Somers B,150,1,6,1,80,11.43,20
"
Wilton",390,6,5,2,260,23.64,Staples,255,5,3,2,160,20.00,20
