Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
John P. Stevens",350,6,5,4,230,20.91,Biotech B,185,1,5,0,120,20.00,20
"
Livingston",310,3,7,1,200,20.00,Downingtown STEM A,260,1,7,3,190,23.75,20
"
Watchung Hills",245,0,9,1,160,17.78,High Tech B,210,0,10,0,110,11.00,20
"
""Mather""",230,4,5,4,140,15.56,"West Windsor-Plainsboro ""Phoenix"" B",205,1,8,2,120,13.33,20
"
Downingtown STEM B",235,1,7,2,160,20.00,East Brunswick B,220,3,7,3,120,12.00,20
"
Biotech A (OT)",280,4,6,4,180,20.00,Princeton High B,270,2,7,2,180,20.00,21
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
High Tech A",505,7,8,0,320,21.33,Biotech B,90,4,0,2,40,10.00,20
"
East Brunswick A",560,12,3,0,350,23.33,Downingtown STEM A,175,3,2,2,120,24.00,20
"
John P. Stevens",515,8,7,1,330,22.00,Princeton High B,140,2,2,0,90,22.50,20
"
High Tech B",380,3,12,1,220,14.67,East Brunswick B,80,2,2,6,60,15.00,20
"
West Windsor-Plainsboro ""Phoenix"" A",420,4,9,0,270,20.77,Livingston,245,4,3,3,170,24.29,20
"
Watchung Hills",340,8,4,0,180,15.00,"""Mather""",175,3,3,2,110,18.33,20
"
Middlesex County Academy",375,7,4,2,240,21.82,Princeton High A,255,5,3,2,160,20.00,20
"
Biotech A",335,6,4,3,220,22.00,Stuyvesant,235,2,6,1,150,18.75,20
"
Downingtown STEM B",250,2,7,2,160,17.78,"West Windsor-Plainsboro ""Phoenix"" B",210,4,4,2,120,15.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
John P. Stevens",530,6,9,0,350,23.33,Biotech A,165,3,2,4,120,24.00,20
"
Downingtown STEM B",320,4,8,2,190,15.83,"""Mather""",110,2,2,2,70,17.50,20
"
East Brunswick A",465,7,5,0,310,25.83,Livingston,285,6,2,1,180,22.50,20
"
High Tech A",395,5,7,2,260,21.67,Princeton High B,270,6,2,2,170,21.25,20
"
Watchung Hills",320,6,5,2,190,17.27,East Brunswick B,210,2,6,2,130,16.25,20
"
High Tech B",350,5,7,1,210,17.50,"West Windsor-Plainsboro ""Phoenix"" B",255,4,4,1,160,20.00,20
"
Middlesex County Academy",360,9,1,1,220,22.00,"West Windsor-Plainsboro ""Phoenix"" A",285,5,3,4,200,25.00,20
"
Princeton High A",360,9,2,3,220,20.00,Downingtown STEM A,290,6,2,2,190,23.75,20
"
Biotech B",260,5,5,3,150,15.00,Stuyvesant,205,1,6,4,150,21.43,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
East Brunswick A",490,11,2,1,310,23.85,Princeton High A,225,3,4,0,140,20.00,20
"
Middlesex County Academy",345,8,2,3,220,22.00,Livingston,210,2,7,2,120,13.33,20
"
Biotech A",345,6,5,1,210,19.09,Biotech B,220,2,6,0,130,16.25,20
"
""Mather""",330,5,7,3,200,16.67,East Brunswick B,210,2,6,2,130,16.25,20
"
High Tech B",275,2,8,1,170,17.00,Downingtown STEM B,155,2,6,3,80,10.00,20
"
West Windsor-Plainsboro ""Phoenix"" B",255,3,8,4,150,13.64,Watchung Hills,145,3,2,2,90,18.00,20
"
Princeton High B",325,5,6,2,200,18.18,Stuyvesant,245,2,6,1,160,20.00,20
"
West Windsor-Plainsboro ""Phoenix"" A",320,5,5,1,200,20.00,Downingtown STEM A,275,6,3,1,160,17.78,20
"
John P. Stevens",360,6,4,2,240,24.00,High Tech A,315,5,5,2,200,20.00,20
