Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Francis Parker (IL)",280,2,8,0,170,17.00,Westview,220,1,8,1,130,14.44,19
"
Gate City",165,1,7,2,90,11.25,Northwest Guilford,115,0,7,3,60,8.57,19
"
William Fremd B",305,3,7,2,200,20.00,Grand Junction A,255,0,10,1,160,16.00,22
"
Western Dubuque",165,0,9,1,80,8.89,Farmington Hills Mercy,115,1,5,0,50,8.33,17
"
Carnegie Vanguard",260,3,6,1,160,17.78,Carmel B,215,2,6,3,140,17.50,17
"
Orange County",250,0,10,2,160,16.00,Copley B,210,3,6,5,130,14.44,21
"
Wissahickon",315,5,5,0,190,19.00,Winston Churchill A,280,5,6,3,160,14.55,22
"
Athens",215,3,6,2,120,13.33,Cinco Ranch B,185,2,4,1,120,20.00,15
"
McLean B",215,1,7,2,140,17.50,Elkhorn South,190,0,8,0,110,13.75,16
"
Darien C",200,1,9,3,110,11.00,Saint Agnes,180,3,5,1,90,11.25,20
"
Cinco Ranch A",275,3,8,4,170,15.45,duPont Manual,255,4,6,3,150,15.00,22
"
Hudson",195,3,5,4,120,15.00,Rock Bridge A,175,0,8,1,100,12.50,17
"
Berwick A",170,2,7,0,70,7.78,Cinco Ranch C,155,0,7,1,90,12.86,19
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Detroit Country Day A",610,12,7,0,360,18.95,Berwick A,40,1,1,1,20,10.00,22
"
Rancho Bernardo",505,9,9,0,280,15.56,Northwest Guilford,40,0,2,0,20,10.00,21
"
Mira Loma B",545,6,12,3,350,19.44,Aiken,80,0,3,0,50,16.67,22
"
Livingston A",455,6,9,3,290,19.33,DeWitt,60,0,3,0,30,10.00,20
"
Hinsdale Central A",450,4,12,2,280,17.50,Gate City,65,1,3,0,20,5.00,20
"
East Chapel Hill",500,5,11,1,320,20.00,DeLaSalle,120,3,2,1,60,12.00,21
"
LASA",420,3,13,1,250,15.62,LAMP,55,0,3,1,30,10.00,20
"
McLean A",460,4,12,0,280,17.50,Centennial C,100,1,3,1,60,15.00,20
"
Montgomery Blair",455,7,7,2,290,20.71,Hudson,95,3,1,2,50,12.50,19
"
Detroit Catholic Central A",470,6,9,2,300,20.00,McLean B,110,1,3,1,70,17.50,22
"
Hastings",430,4,12,2,260,16.25,Barrington C,75,1,2,2,50,16.67,23
"
Morgantown A",420,1,16,1,250,14.71,Detroit Country Day C,80,0,4,2,50,12.50,22
"
Grand Junction A",355,3,11,2,210,15.00,East Hamilton,20,0,1,0,10,10.00,19
"
Barrington A",510,11,3,3,330,23.57,Greenhill A (TX),180,2,6,0,90,11.25,22
"
Westminster",385,5,10,4,230,15.33,Cinco Ranch C,60,0,3,2,40,13.33,21
"
Catholic A",320,1,13,1,180,12.86,Rock Bridge B,0,0,1,4,10,10.00,20
"
Cinco Ranch A",380,7,6,3,230,17.69,Kellenberg,60,1,2,1,30,10.00,19
"
Minnetonka",375,2,13,1,220,14.67,Hallsville,70,2,2,0,20,5.00,20
"
Centennial B",345,3,11,2,200,14.29,Western Dubuque,65,1,2,0,30,10.00,23
"
Solon A",435,7,7,0,260,18.57,Canyon Crest A,165,3,2,4,120,24.00,20
"
Livingston B",330,2,12,0,180,12.86,Morris A,70,1,3,3,40,10.00,21
"
Santa Monica",345,1,11,2,230,19.17,Carbondale,85,1,4,4,50,10.00,18
"
Hinsdale Central B",350,2,12,0,200,14.29,Darien C,95,0,4,3,70,17.50,19
"
Harker",365,3,11,2,220,15.71,Norfolk Academic Guild,115,2,3,1,60,12.00,20
"
Winston Churchill A",395,6,7,1,240,18.46,Copley A,160,1,5,1,100,16.67,20
"
Hunter A",445,7,6,2,290,22.31,William Fremd A,220,5,3,1,120,15.00,21
"
Thomas Jefferson Classical (NC)",230,1,10,3,130,11.82,Lafayette Christian,10,0,1,0,0,0.00,22
"
Strake Jesuit B",325,4,9,1,180,13.85,Wayzata C,115,0,6,1,60,10.00,20
"
Cinco Ranch B",335,3,8,2,220,20.00,Detroit Country Day B,125,1,5,0,60,10.00,17
"
William Fremd B",340,1,12,1,210,16.15,Riverside,135,2,5,1,60,8.57,20
"
High Tech",315,5,8,6,190,14.62,Irvin,110,0,5,0,60,12.00,20
"
Carmel A",365,7,6,4,220,16.92,Carlisle,165,1,6,0,90,12.86,22
"
Cedar Crest",330,4,8,4,210,17.50,St. Pius X,130,2,4,0,60,10.00,20
"
Cookeville",260,1,11,3,150,12.50,Myers Park,60,0,3,0,30,10.00,18
"
Massey Hill Classical",255,1,11,2,140,11.67,Grand Junction B,60,0,3,0,30,10.00,20
"
Del Norte",385,3,10,2,250,19.23,Wade Hampton,195,3,5,2,110,13.75,21
"
Trinity",285,2,10,1,160,13.33,Bishop Kelley,105,0,6,3,60,10.00,21
"
Wayzata A",365,8,4,5,230,19.17,Naperville North,190,0,7,0,120,17.14,21
"
Troy (NY)",265,4,7,1,140,12.73,St. Thomas,90,1,5,1,30,5.00,19
"
Cloverleaf",245,1,11,2,130,10.83,Jackson Academy,75,0,4,1,40,10.00,21
"
Northmont",300,5,6,1,170,15.45,Elkhorn South,150,1,6,1,80,11.43,18
"
Leland",250,1,9,3,160,16.00,Eastlake,105,1,3,0,60,15.00,15
"
Catholic B",205,0,9,1,120,13.33,Providence Day,65,0,4,1,30,7.50,15
"
duPont Manual",320,0,11,2,220,20.00,Canyon Crest B,180,2,6,2,100,12.50,20
"
St. Joseph Central (St. Joseph, MO)",285,5,5,0,160,16.00,Lake Highland,170,1,7,3,100,12.50,19
"
Richard Montgomery B",225,1,8,2,140,15.56,Mason,115,1,4,4,80,16.00,16
"
Wissahickon",355,5,7,2,220,18.33,Chamblee Charter,245,5,4,0,130,14.44,23
"
Park Tudor",235,1,10,2,130,11.82,Saratoga Springs (NY),125,1,4,0,70,14.00,19
"
Saint Agnes",200,0,9,2,120,13.33,North Kansas City,95,0,5,3,60,12.00,20
"
Providence",235,5,6,0,100,9.09,Wayzata B,140,1,5,5,100,16.67,20
"
Winston Churchill B",215,5,4,2,110,12.22,Copley B,125,1,4,0,70,14.00,17
"
Beavercreek",315,5,5,0,190,19.00,Edison Academy,230,3,6,3,140,15.56,20
"
Farmington Hills Mercy",140,0,8,0,60,7.50,Jefferson,55,1,2,0,20,6.67,24
"
Cave Spring",250,1,10,1,140,12.73,Hoover B,175,1,6,4,120,17.14,22
"
Centennial A",275,4,6,3,170,17.00,Hunter B,200,1,8,1,110,12.22,19
"
Westview",265,3,7,4,170,17.00,Marist,190,2,7,2,100,11.11,21
"
Freeman",215,1,8,2,130,14.44,Lee's Summit,145,1,6,2,80,11.43,21
"
Carmel B",245,3,8,4,140,12.73,Morgantown B,175,2,6,1,90,11.25,21
"
Burnsville",220,0,12,2,110,9.17,John Adams,160,1,5,1,100,16.67,23
"
Seven Lakes",270,0,10,2,180,18.00,Bloomington,210,6,3,4,110,12.22,22
"
Mounds Park",215,3,4,2,140,20.00,Athens,155,1,6,2,90,12.86,16
"
Francis Parker (IL)",310,1,10,1,200,18.18,Aurora,250,3,6,3,160,17.78,23
"
Barrington B",255,6,3,3,150,16.67,Dunbar B,200,1,7,1,120,15.00,19
"
Hoover A",260,4,6,6,170,17.00,Caddo Magnet B,205,0,9,1,120,13.33,20
"
Staples",260,3,8,1,140,12.73,Paideia,210,3,5,1,120,15.00,19
"
Caddo Magnet A",285,4,7,5,180,16.36,Raleigh Charter,235,0,9,3,160,17.78,20
"
Darien B",255,3,8,2,140,12.73,Manheim Township A,205,3,5,4,130,16.25,21
"
Richard Montgomery A",335,4,7,1,210,19.09,Mira Loma A,295,5,5,2,180,18.00,21
"
Simon Kenton",170,0,9,0,80,8.89,Morris B,135,1,7,2,60,7.50,19
"
Mountain View",290,2,10,0,160,13.33,Southside (SC),255,2,6,1,170,21.25,20
"
Sylvania Northview (OH)",175,4,4,3,90,11.25,Buckingham County,140,0,8,0,60,7.50,20
"
Lakota West",185,0,9,1,100,11.11,Faith Lutheran,155,1,7,2,80,10.00,23
"
Darien A",245,4,6,3,140,14.00,Carnegie Vanguard,220,0,7,0,150,21.43,17
"
Lindbergh B",285,4,6,1,170,17.00,Strake Jesuit A,265,3,5,2,180,22.50,18
"
St. Paul Academy",240,2,8,2,140,14.00,Westside,225,2,7,3,140,15.56,21
"
International Academy Okma (Bloomfield Hills, MI)",210,1,9,3,120,12.00,Manheim Township B,195,0,8,1,120,15.00,20
"
Ysleta",155,1,5,0,90,15.00,Lee's Summit West,140,1,6,3,80,11.43,17
"
Burlington",255,4,7,3,140,12.73,Orange County,245,2,8,1,140,14.00,22
"
Clark (OT)",225,3,8,2,110,12.22,Hopkins,215,2,9,3,110,11.00,23
"
Rock Bridge A",200,1,8,1,110,12.22,William Fremd C,190,1,9,1,90,9.00,21
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Hunter A",690,12,8,2,440,22.00,Centennial B,85,2,1,1,50,16.67,24
"
Barrington A",585,9,8,2,380,22.35,Livingston B,50,0,3,2,30,10.00,21
"
Mira Loma B",545,4,13,3,370,21.76,St. Paul Academy,140,0,5,2,100,20.00,23
"
Wayzata B",395,2,12,1,250,17.86,Marist,-5,0,1,3,0,0.00,20
"
McLean A",465,5,9,0,300,21.43,Hinsdale Central B,90,2,1,2,60,20.00,19
"
William Fremd A",375,6,8,7,240,17.14,Farmington Hills Mercy,20,0,1,0,10,10.00,22
"
Lake Highland",365,2,12,1,220,15.71,Jefferson,20,0,1,0,10,10.00,20
"
Livingston A",435,5,10,0,260,17.33,Carlisle,95,2,2,1,50,12.50,20
"
Wayzata A",400,5,9,3,250,17.86,Staples,75,0,4,3,50,12.50,20
"
Detroit Catholic Central A",350,4,8,0,210,17.50,Darien A,65,2,2,5,40,10.00,17
"
Grand Junction A",335,3,10,2,200,15.38,Berwick A,60,0,3,2,40,13.33,19
"
Catholic B",345,1,13,2,210,15.00,Naperville North,70,0,4,8,70,17.50,22
"
Buckingham County",265,0,12,1,150,12.50,Lafayette Christian,0,0,1,4,10,10.00,20
"
Richard Montgomery A",395,2,12,3,260,18.57,Troy (NY),135,2,3,1,80,16.00,20
"
Kellenberg",310,0,12,2,200,16.67,Lakota West,55,1,1,0,30,15.00,19
"
Mira Loma A",375,4,9,5,250,19.23,Clark,125,1,3,0,80,20.00,23
