Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Harvard A",410,4,10,2,260,18.57,Florida,200,1,8,3,120,13.33,24
"
Vanderbilt A",350,2,12,2,210,15.00,Ohio State,145,1,5,4,100,16.67,20
"
Chicago B",330,1,11,1,210,17.50,South Carolina,135,0,7,3,80,11.43,23
"
WUSTL A",360,2,11,2,230,17.69,Penn State,185,2,5,1,110,15.71,20
"
UC Berkeley A",270,0,12,4,170,14.17,Northwestern B,110,1,5,3,60,10.00,21
"
Columbia B",290,0,12,0,170,14.17,Kenyon,150,1,5,1,90,15.00,19
"
Illinois",245,1,10,2,140,12.73,British Columbia,115,0,6,3,70,11.67,22
"
Texas A",265,2,7,3,180,20.00,Rutgers,155,0,8,3,90,11.25,21
"
Chicago A",290,4,8,2,160,13.33,Maryland,210,1,8,3,130,14.44,22
"
Cornell A",300,5,7,3,170,14.17,Columbia A,225,1,8,0,130,14.44,21
"
Brown A",290,1,11,3,180,15.00,Yale A,230,0,9,2,150,16.67,22
"
Chicago C (OT)",220,1,10,1,110,10.00,Texas B,200,0,10,2,110,11.00,23
"
Indiana",260,2,8,2,160,16.00,McGill A,255,1,9,2,160,16.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Ohio State",445,1,14,0,290,19.33,Brown A,160,2,5,0,80,11.43,23
"
Indiana",305,1,12,0,170,13.08,Iowa,80,0,4,0,40,10.00,24
"
Stanford A",395,3,11,0,240,17.14,Cornell A,195,5,2,4,120,17.14,21
"
Harvard A",370,2,12,2,230,16.43,Chicago B,170,1,6,3,110,15.71,21
"
Columbia B",300,2,10,2,180,15.00,Rutgers,100,0,5,2,60,12.00,21
"
Northwestern A",315,2,12,1,170,12.14,Vanderbilt A,135,1,5,4,90,15.00,22
"
Columbia A",265,1,10,2,160,14.55,Texas B,100,1,4,3,60,12.00,21
"
Texas A",310,2,11,4,190,14.62,Maryland,145,2,4,1,80,13.33,22
"
Yale A",290,2,9,0,170,15.45,McGill A,130,1,6,1,60,8.57,21
"
South Carolina",185,0,11,1,80,7.27,Northwestern B,50,1,2,1,20,6.67,19
"
Chicago C",215,0,10,1,120,12.00,Kentucky A,110,0,7,0,40,5.71,19
"
Florida",310,0,11,2,210,19.09,WUSTL A,220,0,9,4,150,16.67,23
"
Penn State",275,3,8,2,160,14.55,UC Berkeley A,190,0,9,2,110,12.22,22
"
Georgia Tech",235,1,10,4,140,12.73,MIT A,170,1,7,1,90,11.25,23
"
Illinois",185,1,8,2,100,11.11,Kenyon,130,0,7,2,70,10.00,21
"
British Columbia",255,4,7,1,130,11.82,Chicago A,215,2,6,1,130,16.25,21
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Cornell A",485,6,10,1,300,18.75,Kentucky A,80,1,3,1,40,10.00,22
"
Florida",475,5,13,2,280,15.56,Northwestern B,80,0,4,0,40,10.00,24
"
Stanford A",515,7,9,2,330,20.62,Columbia A,170,2,5,2,100,14.29,23
"
MIT A",405,1,14,0,250,16.67,Texas B,80,0,4,2,50,12.50,20
"
Harvard A",485,7,9,0,290,18.12,WUSTL A,200,1,6,3,140,20.00,24
"
Maryland",345,2,12,1,200,14.29,Kenyon,95,1,4,2,50,10.00,21
"
Georgia Tech",330,0,14,2,200,14.29,Chicago C,110,0,5,0,60,12.00,22
"
Ohio State",345,1,11,2,230,19.17,Yale A,225,1,9,4,140,14.00,23
"
Brown A",275,3,8,4,170,15.45,Iowa,155,3,4,0,70,10.00,22
"
Northwestern A",280,0,12,2,170,14.17,Indiana,160,1,6,1,90,12.86,21
"
Chicago B",300,3,9,3,180,15.00,Penn State,190,3,4,1,110,15.71,21
"
Columbia B",250,2,9,2,140,12.73,Illinois,145,3,4,4,80,11.43,20
"
UC Berkeley A",265,2,8,3,170,17.00,South Carolina,195,1,8,0,100,11.11,20
"
Vanderbilt A",250,3,7,5,160,16.00,McGill A,200,2,8,2,100,10.00,23
"
British Columbia",250,4,7,2,130,11.82,Rutgers,220,2,6,0,130,16.25,22
"
Chicago A",325,4,8,3,200,16.67,Texas A,300,2,8,2,200,20.00,23
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Maryland",255,1,7,0,170,21.25,Columbia B,45,0,3,1,20,6.67,12
"
Indiana",200,2,7,2,110,12.22,McGill A,85,3,2,6,50,10.00,21
"
Vanderbilt A",315,1,12,2,190,14.62,Northwestern A,215,3,5,2,130,16.25,23
"
British Columbia",185,3,5,2,100,12.50,Columbia B,95,0,4,1,60,15.00,12
"
Brown A",280,1,9,1,180,18.00,Yale A,250,2,8,2,150,15.00,25
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Stanford A",510,6,10,0,320,20.00,Chicago A,150,1,5,1,90,15.00,23
"
Harvard A",440,4,11,2,280,18.67,Vanderbilt A,130,1,5,7,100,16.67,22
"
Texas B",275,1,11,2,160,13.33,Kenyon,30,0,3,2,10,3.33,20
"
Yale A",270,1,11,3,160,13.33,Penn State,135,0,8,3,70,8.75,23
"
South Carolina",170,0,8,2,100,12.50,Iowa,70,0,4,2,40,10.00,20
"
Texas A",300,1,8,1,210,23.33,Georgia Tech,215,2,8,3,120,12.00,22
"
Maryland",285,0,10,3,200,20.00,Columbia A,220,2,8,2,120,12.00,22
"
Florida",245,2,8,3,150,15.00,Brown A,185,1,7,4,120,15.00,20
"
MIT A",215,1,7,2,140,17.50,Illinois,165,1,6,2,100,14.29,22
"
British Columbia",255,2,9,3,150,13.64,Cornell A,220,2,6,2,140,17.50,23
"
Kentucky A",170,2,7,2,80,8.89,Rutgers,140,2,5,4,80,11.43,20
"
Columbia B",175,1,7,2,100,12.50,Chicago C,160,1,6,3,100,14.29,21
"
Indiana",185,2,6,3,110,13.75,UC Berkeley A,170,2,4,4,120,20.00,23
"
McGill A",175,1,7,2,100,12.50,Northwestern B,160,0,8,2,90,11.25,23
"
Northwestern A",225,2,7,1,130,14.44,Chicago B,215,3,6,2,120,13.33,21
"
WUSTL A",300,3,8,3,190,17.27,Ohio State,295,1,9,4,210,21.00,22
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Texas A",420,3,12,1,260,17.33,Vanderbilt A,60,0,4,10,70,17.50,22
"
Cornell A",440,5,10,1,270,18.00,Chicago B,140,3,2,3,90,18.00,24
"
Florida",380,5,8,3,240,18.46,Columbia A,100,0,4,2,70,17.50,24
"
Maryland",395,2,11,1,260,20.00,Brown A,190,0,7,2,130,18.57,23
"
WUSTL A",415,3,11,2,270,19.29,Stanford A,230,1,7,3,160,20.00,24
"
Kentucky A",245,3,8,4,140,12.73,South Carolina,90,0,5,2,50,10.00,23
