Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Lindbergh B",405,7,6,4,260,20.00,Rockhurst A,190,2,5,0,110,15.71,20
"
Calvary Lutheran A",320,3,8,1,200,18.18,Jefferson City,125,2,6,1,40,5.00,20
"
Washington A",295,2,11,3,170,13.08,Washington B,115,0,6,1,60,10.00,20
"
Mexico A",385,5,6,2,260,23.64,Rock Bridge,215,2,7,1,120,13.33,20
"
Mexico B",175,1,8,0,80,8.89,Troy Buchanan A,95,1,4,0,40,8.00,20
"
Calvary Lutheran B",170,0,10,0,70,7.00,Washington C,95,0,6,1,40,6.67,20
"
Eldon",175,2,6,1,90,11.25,Troy Buchanan B,110,0,6,0,50,8.33,20
"
Helias",150,1,7,1,70,8.75,Fulton,130,0,7,0,60,8.57,20
"
Moberly B",135,1,7,0,50,6.25,Pilot Grove,125,0,8,1,50,6.25,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Parkway West",505,7,9,2,320,20.00,Jefferson City,65,0,4,1,30,7.50,20
"
Mexico A",390,7,5,1,240,20.00,Washington A,140,2,4,2,80,13.33,20
"
Lindbergh B",335,5,7,4,210,17.50,Washington B,95,1,4,0,40,8.00,20
"
Fulton",230,0,11,0,120,10.91,Moberly C,25,0,2,1,10,5.00,20
"
Lindbergh A",275,5,5,0,150,15.00,Calvary Lutheran A,110,0,5,0,60,12.00,20
"
Warrenton",200,2,8,2,100,10.00,Rockhurst B,70,0,4,0,30,7.50,20
"
Troy Buchanan A",190,0,9,2,110,12.22,Calvary Lutheran B,80,1,5,1,20,3.33,20
"
Moberly A",175,0,8,1,100,12.50,Eldon,75,1,5,2,20,3.33,20
"
Rock Bridge",230,3,7,3,130,13.00,Rockhurst A,160,1,6,1,90,12.86,20
"
Helias",155,0,9,3,80,8.89,Troy Buchanan B,90,0,5,0,40,8.00,20
"
Mexico B",95,0,7,1,30,4.29,Pilot Grove,80,0,4,0,40,10.00,20
"
Moberly B",60,0,4,0,20,5.00,Washington C,45,0,5,3,10,2.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Parkway West",565,9,8,0,350,20.59,Lindbergh A,70,1,2,3,50,16.67,20
"
Mexico A",425,7,6,0,260,20.00,Lindbergh B,215,5,2,2,130,18.57,20
"
Troy Buchanan A",195,2,7,3,110,12.22,Moberly B,60,0,5,0,10,2.00,20
"
Moberly A",215,1,11,0,90,7.50,Helias,80,0,5,4,50,10.00,20
"
Warrenton",265,1,12,0,130,10.00,Calvary Lutheran A,140,2,4,2,80,13.33,20
"
Washington C",190,1,10,1,80,7.27,Mexico B,80,0,5,2,40,8.00,20
"
Rock Bridge",215,2,8,5,130,13.00,Washington B,110,0,5,0,60,12.00,20
"
Washington A",290,3,8,3,180,16.36,Rockhurst A,185,1,7,0,100,12.50,20
"
Troy Buchanan B",175,0,11,1,70,6.36,Moberly C,80,0,4,0,40,10.00,20
"
Jefferson City",220,2,7,0,120,13.33,Rockhurst B,145,2,6,1,60,7.50,20
"
Fulton",135,0,8,3,70,8.75,Eldon,100,0,6,0,40,6.67,20
"
Pilot Grove",120,0,7,0,50,7.14,Calvary Lutheran B,100,1,5,1,40,6.67,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Moberly A",250,1,11,1,130,10.83,Moberly B,15,0,1,1,10,10.00,20
"
Calvary Lutheran B",185,0,9,1,100,11.11,Moberly C,45,1,3,0,0,0.00,20
"
Fulton",210,2,8,0,100,10.00,Washington C,70,1,3,1,30,7.50,20
"
Pilot Grove",150,1,8,1,60,6.67,Eldon,25,1,1,2,10,5.00,20
"
Parkway West",340,2,9,0,220,20.00,Lindbergh B,235,6,3,3,130,14.44,20
"
Troy Buchanan A",215,1,9,0,110,11.00,Helias,110,1,6,1,40,5.71,20
"
Troy Buchanan B",155,1,7,0,70,8.75,Mexico B,50,0,4,2,20,5.00,20
"
Mexico A",315,3,8,2,200,18.18,Lindbergh A,220,3,6,1,120,13.33,20
"
Rock Bridge",155,2,6,5,90,11.25,Warrenton,115,1,4,2,70,14.00,20
"
Washington B",155,2,6,1,70,8.75,Jefferson City,125,1,5,2,70,11.67,20
"
Rockhurst A",175,1,6,0,100,14.29,Rockhurst B,165,1,6,0,90,12.86,20
"
Calvary Lutheran A",230,3,6,1,130,14.44,Washington A,225,1,8,2,140,15.56,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Fulton",260,2,10,0,130,10.83,Mexico B,55,0,3,3,40,13.33,20
"
Washington B",210,0,11,0,100,9.09,Rockhurst B,70,1,2,3,50,16.67,20
"
Lindbergh B",285,5,5,4,180,18.00,Lindbergh A,160,4,2,0,80,13.33,20
"
Helias",220,0,12,0,100,8.33,Moberly B,100,0,4,0,60,15.00,20
"
Rockhurst A",200,2,7,2,110,12.22,Jefferson City,120,2,3,0,60,12.00,20
"
Pilot Grove",85,0,5,1,40,8.00,Moberly C,20,0,2,0,0,0.00,20
"
Washington A",235,3,9,0,100,8.33,Warrenton,180,3,5,1,90,11.25,20
"
Parkway West",345,5,5,2,230,23.00,Mexico A,295,3,7,2,190,19.00,20
"
Rock Bridge",230,3,6,3,140,15.56,Calvary Lutheran A,180,1,6,1,110,15.71,20
"
Troy Buchanan B",120,0,8,0,40,5.00,Washington C,75,0,5,1,30,6.00,20
"
Moberly A",195,1,8,0,100,11.11,Troy Buchanan A,185,2,8,3,90,9.00,20
"
Eldon",100,0,6,2,50,8.33,Calvary Lutheran B,90,0,5,0,40,8.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Mexico A",365,6,5,1,230,20.91,Parkway West,220,4,4,2,130,16.25,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Mexico A",315,5,6,0,180,16.36,Parkway West,205,3,5,4,130,16.25,20
