Winner,Score,P,TU,B,PPB,BB,BB%,Loser,Score,P,TU,B,PPB,BB
"
IMSA D",180,2,4,100,16.67,10,6.7%,Keith Country Day B,90,0,6,30,5.00,0
Winner,Score,P,TU,B,PPB,BB,BB%,Loser,Score,P,TU,B,PPB,BB
"
IMSA A",660,6,11,420,24.71,40,80.0%,Elgin Academy A,60,0,2,10,5.00,30
"
Rockford Auburn A",615,7,11,400,22.22,0,0.0%,Glenbard North A,105,1,1,50,25.00,30
"
Adlai E. Stevenson A",640,8,8,410,25.62,30,100.0%,Rockford Auburn B,145,1,3,90,22.50,10
"
Barrington A",530,8,5,340,26.15,20,33.3%,Adlai E. Stevenson B,255,1,6,150,21.43,30
"
Adlai E. Stevenson C",330,0,11,210,19.09,10,14.3%,United Township B,70,0,3,20,6.67,20
"
Barrington D",310,2,12,150,10.71,10,33.3%,Byron,60,0,2,30,15.00,10
"
Barrington B",435,5,6,220,20.00,80,61.5%,IMSA B,275,3,6,140,15.56,30
"
United Township A",235,1,8,100,11.11,40,44.4%,Keith Country Day B,90,0,4,30,7.50,20
"
Keith Country Day A",250,0,9,130,14.44,30,33.3%,Adlai E. Stevenson D,105,1,3,30,7.50,30
"
Elgin Academy B",210,0,10,110,11.00,0,0.0%,Glenbard North C,70,0,2,20,10.00,30
"
IMSA D",190,0,6,100,16.67,30,21.4%,Winnebago B,115,1,5,40,6.67,10
"
Marian Central Catholic",240,0,9,120,13.33,30,25.0%,IMSA C,170,0,7,90,12.86,10
"
Belvidere North",290,2,8,140,14.00,40,44.4%,Rockford Auburn C,225,1,6,120,17.14,30
"
Barrington C",210,0,8,100,12.50,30,23.1%,Glenbard North B,145,1,5,50,8.33,30
"
Winnebago A",245,3,5,110,13.75,40,33.3%,Moline,235,1,7,120,15.00,30
Winner,Score,P,TU,B,PPB,BB,BB%,Loser,Score,P,TU,B,PPB,BB
"
Barrington A",675,9,6,420,28.00,60,75.0%,Glenbard North A,115,1,3,40,10.00,30
"
Adlai E. Stevenson A",620,10,5,380,25.33,40,57.1%,Rockford Auburn C,150,0,5,80,16.00,20
"
Barrington B",500,8,6,300,21.43,20,40.0%,Belvidere North,130,2,2,70,17.50,10
"
Elgin Academy A",370,4,8,220,18.33,10,16.7%,IMSA D,70,0,3,30,10.00,10
"
IMSA A",460,8,4,270,22.50,30,33.3%,IMSA B,205,1,6,120,17.14,10
"
Winnebago A",375,5,6,160,14.55,80,42.1%,United Township A,165,1,7,50,6.25,30
"
Rockford Auburn B",405,5,7,220,18.33,40,44.4%,Adlai E. Stevenson C,200,2,5,120,17.14,0
"
Rockford Auburn A",470,6,6,300,25.00,20,25.0%,Adlai E. Stevenson B,290,4,4,160,20.00,30
"
Marian Central Catholic",325,1,8,190,21.11,40,28.6%,Keith Country Day A,225,1,8,130,14.44,0
"
Keith Country Day B",205,1,6,50,7.14,80,42.1%,Winnebago B,135,3,4,20,2.86,30
"
Barrington C",260,0,10,110,11.00,50,27.8%,Elgin Academy B,195,1,7,60,7.50,50
"
Glenbard North B",225,1,7,60,7.50,80,47.1%,Adlai E. Stevenson D,190,0,8,70,8.75,40
"
Moline",260,4,6,100,10.00,40,36.4%,IMSA C,240,0,8,130,16.25,30
"
Glenbard North C",195,3,6,90,10.00,0,0.0%,United Township B,180,0,5,50,10.00,80
"
Barrington D",165,1,5,60,10.00,40,28.6%,Byron,160,0,7,70,10.00,20
Winner,Score,P,TU,B,PPB,BB,BB%,Loser,Score,P,TU,B,PPB,BB
"
Barrington A",645,9,7,410,25.62,30,60.0%,Adlai E. Stevenson C,85,1,2,40,13.33,10
"
Adlai E. Stevenson A",610,12,3,350,23.33,50,71.4%,Barrington B,180,4,1,80,16.00,30
"
IMSA A",540,12,4,320,20.00,0,0.0%,Glenbard North A,155,1,3,80,20.00,30
"
Elgin Academy A",460,4,9,260,20.00,50,50.0%,United Township A,85,1,3,20,5.00,20
"
Rockford Auburn A",535,7,7,300,21.43,60,50.0%,Belvidere North,185,3,3,60,10.00,50
"
Adlai E. Stevenson B",455,7,5,280,23.33,20,20.0%,Rockford Auburn C,115,1,4,50,10.00,10
"
IMSA C",215,1,8,110,12.22,10,16.7%,Byron,70,0,3,30,10.00,10
"
Glenbard North B",180,0,10,50,5.00,30,33.3%,Glenbard North C,50,0,3,0,0.00,20
"
Keith Country Day B",130,0,9,30,3.33,10,50.0%,United Township B,40,0,1,10,10.00,20
"
Marian Central Catholic",240,2,9,100,9.09,20,18.2%,IMSA D,160,0,6,70,11.67,30
"
Winnebago A",235,1,8,110,12.22,30,27.3%,Keith Country Day A,160,2,4,70,11.67,20
"
Rockford Auburn B",340,2,6,180,22.50,70,38.9%,IMSA B,285,5,6,150,13.64,0
"
Adlai E. Stevenson D",190,2,4,90,15.00,30,20.0%,Winnebago B,145,3,4,60,8.57,0
"
Elgin Academy B",185,1,8,90,10.00,0,0.0%,Barrington D,155,1,5,70,11.67,20
"
Moline",175,1,7,80,10.00,10,7.1%,Barrington C,170,0,7,70,10.00,30
Winner,Score,P,TU,B,PPB,BB,BB%,Loser,Score,P,TU,B,PPB,BB
"
Barrington A",615,11,5,360,22.50,40,100.0%,IMSA B,115,1,2,50,16.67,30
"
IMSA A",550,8,6,320,22.86,50,71.4%,Rockford Auburn B,165,1,4,80,16.00,30
"
Rockford Auburn A",500,8,4,290,24.17,50,55.6%,Rockford Auburn C,185,3,3,90,15.00,20
"
Moline",320,0,13,180,13.85,10,11.1%,Byron,60,0,3,0,0.00,30
"
Elgin Academy A",405,5,6,200,18.18,70,63.6%,Marian Central Catholic,150,2,3,40,8.00,50
"
Adlai E. Stevenson A",415,7,2,200,22.22,90,75.0%,Belvidere North,240,2,6,120,15.00,30
"
Barrington B",420,4,8,230,19.17,50,55.6%,Adlai E. Stevenson B,300,4,4,150,18.75,50
