Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Detroit Catholic Central A",550,13,1,1,350,25.00,St. Francis,145,1,4,0,90,18.00,20
"
Carmel B",500,8,5,2,340,26.15,Detroit Catholic Central C,115,1,4,0,60,12.00,20
"
Findlay",365,5,9,2,210,15.00,Pettisville B,40,0,3,2,20,6.67,20
"
Carmel C",490,8,5,2,330,25.38,Maumee Valley,180,1,5,1,120,20.00,20
"
Hicksville A",270,0,13,0,140,10.77,White Pigeon B,20,0,2,2,10,5.00,20
"
Carmel A",425,9,2,6,300,27.27,Detroit Catholic Central B,200,2,6,0,110,13.75,20
"
Pettisville A",305,0,12,1,190,15.83,Stryker A,110,0,5,0,60,12.00,20
"
Riverdale A",245,1,9,0,140,14.00,White Pigeon A,80,0,5,0,30,6.00,20
"
Columbian A",205,2,8,1,100,10.00,Montpelier A,120,0,6,0,60,10.00,20
"
Evergreen B",155,1,6,2,90,12.86,Hilltop,75,0,5,1,30,6.00,20
"
Edgerton A",240,1,11,1,120,10.00,Evergreen A,190,1,6,3,130,18.57,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Toledo Arts",465,7,8,2,290,19.33,Findlay,75,1,3,2,40,10.00,20
"
Detroit Catholic Central A",515,11,2,0,330,25.38,Carmel B,210,5,1,1,130,21.67,20
"
Montpelier A",260,0,13,0,130,10.00,White Pigeon B,-15,0,0,3,0,0.00,20
"
Detroit Catholic Central D",280,4,9,2,140,10.77,Pettisville B,75,1,3,0,30,7.50,20
"
Evergreen A",260,2,10,2,140,11.67,White Pigeon A,90,0,5,0,40,8.00,20
"
Detroit Catholic Central C",300,1,11,1,180,15.00,St. Francis,155,2,5,1,80,11.43,20
"
Carmel A",415,8,3,1,270,24.55,Carmel C,275,6,3,1,160,17.78,20
"
Detroit Catholic Central B",320,5,5,1,200,20.00,Maumee Valley,215,5,3,2,120,15.00,20
"
Columbian A",150,0,9,2,70,7.78,Hicksville A,55,0,3,1,30,10.00,20
"
Pettisville A",205,1,8,0,110,12.22,Evergreen B,120,2,4,0,50,8.33,20
"
Hilltop",130,1,6,1,60,8.57,Stryker A,60,0,4,0,20,5.00,20
"
Edgerton A",190,1,8,1,100,11.11,Riverdale A,175,1,7,0,90,11.25,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Carmel C",495,6,10,1,310,19.38,Detroit Catholic Central C,90,2,1,2,60,20.00,20
"
Detroit Catholic Central A",570,12,3,2,370,24.67,Carmel A,170,2,3,4,130,26.00,20
"
Toledo Arts",445,6,8,1,280,20.00,Edgerton A,90,0,4,0,50,12.50,20
"
Stryker A",165,0,10,1,70,7.00,White Pigeon B,0,0,0,0,0,0.00,20
"
Carmel B",380,6,5,2,250,22.73,Detroit Catholic Central B,250,4,4,2,160,20.00,20
"
St. Francis",250,1,8,1,160,17.78,Maumee Valley,150,1,7,3,80,10.00,20
"
Pettisville A",200,1,8,1,110,12.22,Columbian A,140,2,5,2,70,10.00,20
"
Montpelier A",130,0,7,0,60,8.57,Evergreen B,80,0,4,0,40,10.00,20
"
Hilltop",125,1,5,0,60,10.00,Hicksville A,105,0,7,1,40,5.71,20
"
White Pigeon A",130,1,6,1,60,8.57,Pettisville B,115,1,5,0,50,8.33,20
"
Detroit Catholic Central D",185,2,6,1,100,12.50,Riverdale A,170,0,8,2,100,12.50,20
"
Evergreen A",185,2,5,1,110,15.71,Findlay,170,1,7,3,100,12.50,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Montpelier B",95,1,5,4,50,8.33,Tinora B,50,0,3,0,20,6.67,20
