Rd.,Opponent,Result,PF,PA
3,High Tech B,W,190,50
4,Hunter B,L,90,150
5,Belmont A,L,65,200
6,High Tech A,L,90,165
7,East Brunswick A,L,90,160
8,Belmont B,W,115,110
9,Belmont A,L,20,220
10,Hunter A,L,65,180
11,Millburn,W,110,105
,Total,,1185,1405
Rd.,Opponent,Result,PF,PA
1,Hotchkiss B,W,155,75
2,Staples,W,105,80
3,Millburn,W,135,55
4,Biotech A,W,180,35
5,East Brunswick A,L,20,200
6,Hotchkiss A,L,75,160
7,Hunter B,L,60,140
8,East Brunswick B,L,90,95
9,Millburn,L,80,125
10,Ridgewood A,L,115,135
11,Belmont B,W,155,45
,Total,,1170,1145
Rd.,Opponent,Result,PF,PA
1,East Brunswick A,L,75,180
2,Biotech A,L,80,145
3,Livingston B,L,55,135
4,Hotchkiss B,W,125,95
5,Staples,W,150,50
6,Hunter B,L,60,180
7,East Brunswick B,L,50,120
8,Ridgewood A,L,110,125
9,Livingston B,W,125,80
10,Hotchkiss A,L,80,125
11,Livingston A,L,105,110
,Total,,1015,1345
Rd.,Opponent,Result,PF,PA
1,Hunter A,L,110,120
2,Fordham Prep,W,165,45
3,High Tech C,W,190,40
4,Wilton High,W,175,50
5,East Brunswick B,W,165,45
6,East Brunswick B,W,150,105
7,Hotchkiss A,L,90,170
8,Millburn,W,125,110
9,Hunter B,L,120,130
10,Livingston B,W,135,115
11,East Brunswick A,W,145,115
,Total,,1570,1045
Rd.,Opponent,Result,PF,PA
1,Biotech B,L,35,125
2,Hunter C,L,35,155
3,Belmont B,L,20,205
4,Hotchkiss A,L,5,185
5,High Tech A,L,25,180
6,Hunter C,L,15,165
7,Wilton High,L,40,130
8,Hotchkiss C,L,25,85
9,Biotech A,L,55,145
10,East Brunswick C,L,45,125
,Total,,300,1500
Rd.,Opponent,Result,PF,PA
1,Biotech A,W,120,85
2,Livingston B,L,80,105
3,Hotchkiss B,W,105,100
4,East Brunswick A,L,95,120
5,Millburn,L,50,150
6,Fordham Prep,W,135,50
7,Biotech B,W,125,40
8,High Tech C,L,45,85
9,Hotchkiss B,W,115,35
10,High Tech B,W,115,105
,Total,,985,875
Rd.,Opponent,Result,PF,PA
1,High Tech C,W,160,50
2,East Brunswick B,L,40,145
3,Fordham Prep,W,150,50
4,Ridgewood A,L,50,175
5,Hunter A,L,40,185
6,East Brunswick C,W,135,75
7,Roxbury Prep High School,W,130,40
8,Biotech A,W,120,100
9,Hunter C,W,115,85
10,Hotchkiss C,W,110,45
,Total,,1050,950
