Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Phillips Exeter",430,10,2,4,280,23.33,John P. Stevens B,195,3,3,0,120,20.00,20
"
Marlboro",360,1,11,1,240,20.00,Moravian Academy B,135,2,4,1,70,11.67,20
"
West Windsor-Plainsboro North A",290,2,10,2,170,14.17,Edison C,85,0,5,1,40,8.00,20
"
Bishop Ludden A",375,5,7,2,240,20.00,Cooperstown B,190,2,5,0,110,15.71,20
"
High Tech B",300,3,8,1,180,16.36,Wallenpaupack,135,0,6,1,80,13.33,20
"
Livingston B",190,1,8,1,100,11.11,Adirondack Central,125,1,4,2,80,16.00,20
"
Hunter D",215,1,10,2,110,10.00,West Windsor-Plainsboro North C,160,2,5,2,90,12.86,20
"
Cooperstown A",270,2,7,2,180,20.00,Belmont B,230,4,4,0,130,16.25,20
"
Hunter C",270,1,9,5,190,19.00,Ridgewood B,245,2,7,1,150,16.67,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Hunter A",625,14,3,3,400,23.53,Advanced Math & Science B,40,0,2,0,20,10.00,20
"
Hunter B",595,9,8,2,390,22.94,Moravian Academy B,25,1,1,2,10,5.00,20
"
Ridgewood A",600,8,10,0,380,21.11,West Windsor-Plainsboro North C,55,1,1,0,30,15.00,20
"
Belmont A",580,10,7,2,370,21.76,Cooperstown B,55,1,2,0,20,6.67,20
"
Livingston A",575,12,4,3,370,23.12,Hunter D,60,1,1,1,40,20.00,20
"
High Tech A",590,10,7,2,380,22.35,Adirondack Central,80,1,2,1,50,16.67,20
"
Phillips Exeter",555,12,4,3,350,21.88,Edison C,50,0,2,0,30,15.00,20
"
Moravian Academy A",425,2,13,1,270,18.00,West Windsor-Plainsboro North B,105,1,4,2,60,12.00,20
"
Belmont B",390,3,10,1,250,19.23,Livingston B,105,1,5,2,50,8.33,20
"
Advanced Math & Science A",415,3,10,2,280,21.54,John P. Stevens C,170,3,3,1,100,16.67,20
"
John P. Stevens B",380,5,8,1,230,17.69,Ridgewood B,140,3,3,1,70,11.67,20
"
Wallenpaupack",220,0,11,0,110,10.00,Bishop Ludden B,35,0,4,7,30,7.50,20
"
Cooperstown A",270,1,10,3,170,15.45,Edison B,115,2,5,3,50,7.14,20
"
Hempfield",380,5,6,1,250,22.73,Edison A,265,3,6,0,160,17.78,20
"
Plymouth",245,3,9,0,110,9.17,High Tech C,145,1,5,2,90,15.00,20
"
High Tech B",345,6,5,1,210,19.09,Marlboro,315,1,8,0,220,24.44,20
"
John P. Stevens A",320,6,3,4,220,24.44,Bishop Ludden A,300,4,6,0,180,18.00,20
"
Hunter C",270,2,8,2,170,17.00,West Windsor-Plainsboro North A,255,2,8,1,150,15.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
