Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Wilton",415,5,8,0,260,20.00,Darien B,135,2,4,3,80,13.33,20
"
Hunter A",460,10,2,0,290,24.17,Darien A,270,3,5,1,180,22.50,20
"
Port Jefferson",245,4,8,1,110,9.17,Kings Park A,80,2,2,0,30,7.50,20
"
High Tech A",255,3,8,4,150,13.64,Island Trees,105,0,6,5,70,11.67,20
"
Woodland",390,6,5,0,250,22.73,Chenery Middle,285,5,4,4,190,21.11,20
"
Valley Stream South",215,1,10,4,120,10.91,High Tech B,110,0,5,0,60,12.00,20
"
North Babylon B",140,0,8,0,60,7.50,Mepham B,65,1,4,0,10,2.00,20
"
High Tech C",280,3,6,1,180,20.00,North Babylon A,210,3,7,3,110,11.00,20
"
Hunter B",190,1,7,1,110,13.75,Mepham A,120,1,6,1,50,7.14,20
"
Kings Park B",155,0,10,1,60,6.00,Hunter C,145,1,5,0,80,13.33,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
North Babylon A",300,1,11,3,190,15.83,High Tech A,130,0,6,2,80,13.33,20
"
Chenery Middle",365,5,7,4,240,20.00,Darien B,200,2,6,2,120,15.00,20
"
Hunter A",390,4,7,0,260,23.64,Wilton,280,5,4,1,170,18.89,20
"
Hunter C",140,0,8,0,60,7.50,High Tech B,45,0,4,1,10,2.50,20
"
High Tech C",290,4,7,2,170,15.45,Mepham A,210,1,7,1,130,16.25,20
"
Hunter B",240,1,9,3,150,15.00,Island Trees,165,1,5,2,110,18.33,20
"
Port Jefferson",235,0,10,1,140,14.00,Valley Stream South,170,0,7,2,110,15.71,20
"
Woodland",350,4,6,0,230,23.00,Darien A,305,5,4,2,200,22.22,20
"
Kings Park C",135,1,4,0,80,16.00,North Babylon B,90,1,5,1,30,5.00,20
"
Kings Park A",150,0,7,2,90,12.86,Kings Park B,125,0,7,3,70,10.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Darien A",410,3,11,3,270,19.29,Darien B,65,1,2,0,30,10.00,20
"
Hunter A",430,6,7,2,280,21.54,Woodland,170,2,5,0,90,12.86,20
"
Port Jefferson",270,0,14,2,140,10.00,High Tech B,15,0,1,1,10,10.00,20
"
Valley Stream South",285,1,12,0,150,11.54,Kings Park B,70,0,4,0,30,7.50,20
"
Wilton",370,5,7,1,230,19.17,Chenery Middle,180,2,5,0,100,14.29,20
"
High Tech C",280,2,10,0,150,12.50,Island Trees,135,1,5,2,80,13.33,20
"
High Tech A",195,1,9,0,90,9.00,Hunter B,100,2,3,0,40,8.00,20
"
Mepham A",180,0,8,2,110,13.75,North Babylon A,95,1,4,4,60,12.00,20
"
Mepham B",60,0,5,0,10,2.00,Kings Park C,35,0,2,1,20,10.00,20
"
Hunter C (OT)",115,1,5,2,60,12.00,Kings Park A,110,0,6,2,60,12.00,23
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Valley Stream South",260,0,12,2,150,12.50,Hunter C,35,0,2,1,20,10.00,20
"
Port Jefferson",245,0,10,1,150,15.00,Kings Park B,45,0,3,3,30,10.00,20
"
Wilton",325,2,9,3,220,20.00,Darien A,170,1,7,3,100,12.50,20
"
Hunter A",335,5,6,2,210,19.09,Chenery Middle,190,2,6,4,120,15.00,20
"
High Tech C",280,1,9,1,180,18.00,High Tech A,150,1,5,1,90,15.00,20
"
Kings Park A",130,0,8,0,50,6.25,High Tech B,10,0,1,0,0,0.00,20
"
Woodland",310,5,6,1,180,16.36,Darien B,210,4,3,0,120,17.14,20
"
Island Trees",190,0,10,6,120,12.00,Mepham A,140,3,3,1,70,11.67,20
"
Hunter B",150,1,6,3,90,12.86,North Babylon A,115,0,7,3,60,8.57,20
