Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Ridgewood B",580,7,12,1,360,18.95,Ranney,-5,0,1,5,10,10.00,20
"
East Brunswick A",675,12,5,1,450,26.47,Biotech A,105,2,1,1,70,23.33,20
"
Ridgewood A",585,6,12,1,380,21.11,Mountain Lakes C,20,0,1,0,10,10.00,20
"
East Brunswick B",545,10,5,5,370,24.67,Biotech B,40,0,2,0,20,10.00,20
"
Hunter A",595,12,4,3,390,24.38,Livingston,115,1,3,0,70,17.50,20
"
Hewlett A",465,4,12,1,290,18.12,Palisades B,0,0,0,0,0,0.00,20
"
Ithaca A",500,8,8,4,320,20.00,Middlesex County Academy D,35,0,2,1,20,10.00,20
"
Hunter C",445,1,17,0,260,14.44,Hotchkiss C,20,0,1,0,10,10.00,20
"
Hotchkiss B",395,2,14,1,230,14.38,Palisades C,20,0,2,0,0,0.00,20
"
Edison A",470,6,9,2,300,20.00,High Tech B,100,0,3,0,70,23.33,20
"
TAG Magnet",495,10,4,5,330,23.57,Bishop Ludden,135,0,5,1,90,18.00,20
"
Middlesex County Academy A",415,5,8,2,270,20.77,East Brunswick C,145,0,5,1,100,20.00,20
"
Phillips Academy",470,8,5,4,320,24.62,Middlesex County Academy C,240,6,1,0,140,20.00,20
"
Wilton",360,4,10,2,210,15.00,Academy of Allied Health and Science,140,1,5,1,80,13.33,20
"
Mountain Lakes B",310,1,11,1,190,15.83,Hewlett B,115,1,4,0,60,12.00,20
"
Hunter B",410,7,5,3,270,22.50,High Tech A,275,5,3,0,170,21.25,20
"
Ithaca B",235,2,9,3,130,11.82,Palisades A,135,1,5,0,70,11.67,20
"
Hewlett C",240,1,8,1,150,16.67,Edison B,190,1,5,1,130,21.67,20
"
Edison C",240,2,8,0,130,13.00,Mountain Lakes A,200,2,6,6,140,17.50,20
"
Middlesex County Academy B",250,2,7,0,150,16.67,Dublin Scioto,220,2,8,4,130,13.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
East Brunswick A",640,13,6,1,390,20.53,Palisades A,20,0,1,0,10,10.00,20
"
East Brunswick B",565,12,5,3,350,20.59,Dublin Scioto,40,0,2,0,20,10.00,20
"
Livingston",500,1,18,1,310,16.32,Palisades C,0,0,0,0,0,0.00,20
"
Hotchkiss A",510,10,6,2,310,19.38,Hewlett B,65,0,4,1,30,7.50,20
"
Ithaca A",465,8,7,3,290,19.33,Mountain Lakes B,45,1,1,2,30,15.00,20
"
Ridgewood B",490,6,10,0,300,18.75,Mountain Lakes A,120,2,2,2,80,20.00,20
"
Mountain Lakes C",395,1,15,0,230,14.38,Biotech B,50,0,3,0,20,6.67,20
"
Ridgewood A",475,4,10,1,320,22.86,Middlesex County Academy B,150,2,4,0,80,13.33,20
"
TAG Magnet",450,10,3,4,290,22.31,Edison C,140,2,5,0,60,8.57,20
"
Ithaca B",255,1,10,0,140,12.73,Hotchkiss C,70,1,3,1,30,7.50,20
"
East Brunswick C",280,4,8,0,140,11.67,Hotchkiss B,105,1,4,4,70,14.00,20
"
Hewlett A",275,4,9,1,130,10.00,Middlesex County Academy C,105,1,4,2,60,12.00,20
"
Middlesex County Academy D",265,3,6,0,160,17.78,Hewlett D,110,0,6,0,50,8.33,20
"
Phillips Academy",425,9,3,2,270,22.50,Edison A,280,6,2,0,170,21.25,20
"
High Tech B",215,1,11,0,90,7.50,Palisades B,75,0,5,1,30,6.00,20
"
Hunter A",420,10,1,2,270,24.55,Middlesex County Academy A,310,4,5,0,200,22.22,20
"
Edison B",280,4,7,0,150,13.64,High Tech A,210,1,7,5,150,18.75,20
"
Wilton",285,1,10,0,170,15.45,Hewlett C,220,3,6,1,120,13.33,20
"
Hunter C",285,2,7,1,190,21.11,Biotech A,270,2,8,0,160,16.00,20
"
Ranney",265,1,10,0,150,13.64,Bishop Ludden,260,5,4,3,160,17.78,20
"
Hunter B",Forfeit, , , , , ,Academy of Allied Health and Science,Forfeit, , , , , ,-
