"
Tower Hill",430,4,9,2,290,22.31,Hoover A,215,4,3,3,140,20.00,20
"
Hoover C",140,0,8,0,60,7.50,Crivitz B,95,0,6,1,40,6.67,20
"
Dickinson",185,1,6,0,110,15.71,Hoover B,150,0,10,0,50,5.00,20
"
Paideia C",245,2,8,1,140,14.00,Howard Middle,240,1,9,3,150,15.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Tower Hill",450,9,6,1,260,17.33,Kiski,145,2,3,1,90,18.00,20
"
Howard Middle",155,1,5,2,100,16.67,Crivitz A,20,0,1,0,10,10.00,10
"
Hoover A",355,8,3,1,210,19.09,Plano West,260,2,6,0,170,21.25,20
"
Lambert",355,6,5,1,220,20.00,Paideia A,300,4,4,0,200,25.00,20
"
Hoover B",185,0,9,1,100,11.11,Hoover C,165,3,3,0,90,15.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Paideia B",355,2,10,1,230,19.17,Crivitz A,10,0,1,0,0,0.00,20
"
Roeper",400,0,12,2,290,24.17,Paideia C,120,1,3,1,80,20.00,20
"
Hoover B",205,2,7,3,120,13.33,Crivitz B,30,0,3,0,0,0.00,20
"
Lambert",325,4,8,5,210,17.50,Plano West,175,1,6,2,110,15.71,20
"
Hoover A",285,5,5,2,170,17.00,Kiski,240,3,7,3,140,14.00,20
"
Tower Hill",285,2,8,1,180,18.00,Paideia A,250,4,4,2,160,20.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Paideia B",325,6,7,1,170,13.08,Paideia C,60,1,2,1,30,10.00,20
"
Roeper",395,0,13,1,270,20.77,Howard Middle,160,3,4,3,90,12.86,20
"
Dickinson",290,0,13,0,160,12.31,Crivitz B,60,1,2,1,30,10.00,20
"
Kiski",355,6,6,1,210,17.50,Plano West,235,6,2,3,140,17.50,20
"
Lambert",395,8,3,1,250,22.73,Tower Hill,285,5,3,0,180,22.50,20
"
Paideia A",260,4,4,4,180,22.50,Hoover A,195,2,6,1,110,13.75,20
