Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Lowell",300,5,6,3,180,16.36,Washington,285,5,4,0,170,18.89,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Saratoga A",480,9,4,3,320,24.62,Bellarmine College Prep A,200,2,5,0,120,17.14,20
"
Amador Valley A",350,7,4,5,230,20.91,Leland,170,1,6,1,100,14.29,20
"
Mira Loma A",385,7,4,0,240,21.82,Harker A,280,5,3,1,180,22.50,20
"
Homestead A",380,8,2,2,250,25.00,Sagittarius A,300,6,3,2,190,21.11,20
"
Mira Loma B",385,8,3,3,250,22.73,Stanford Online A,315,1,7,0,230,28.75,20
"
Sagittarius B",360,8,3,4,230,20.91,Lowell,290,5,3,1,190,23.75,20
"
Washington",295,4,7,1,170,15.45,Davis A,225,1,7,0,140,17.50,20
"
Vista Del Lago A",330,4,7,2,210,19.09,Gunn A,310,2,7,0,210,23.33,20
"
Irvington A",330,7,2,3,220,24.44,Mission San Jose A,315,3,7,2,210,21.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Irvington A",495,8,7,3,320,21.33,Leland,125,1,4,0,70,14.00,20
"
Sagittarius A",530,11,4,3,340,22.67,Stanford Online A,160,1,4,1,110,22.00,20
"
Mira Loma B",445,9,4,4,290,22.31,Bellarmine College Prep A,135,3,2,2,80,16.00,20
"
Sagittarius B",420,5,8,1,270,20.77,Davis A,115,2,3,1,60,12.00,20
"
Harker A",455,6,8,1,290,20.71,Amador Valley A,175,3,3,2,110,18.33,20
"
Gunn A",400,5,8,1,250,19.23,Lowell,240,4,3,2,160,22.86,20
"
Saratoga A",415,6,5,1,280,25.45,Homestead A,345,7,2,2,230,25.56,20
"
Mira Loma A",355,8,3,3,220,20.00,Mission San Jose A,295,4,5,3,200,22.22,20
"
Vista Del Lago A",250,3,6,3,160,17.78,Washington,245,6,2,1,140,17.50,20
