Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
North Gwinnett",440,4,13,0,250,14.71,John Adams A,15,0,1,1,10,10.00,22
"
White Station A",455,4,11,1,290,19.33,Hewitt-Trussville,75,1,3,4,50,12.50,20
"
Wayzata B",420,5,9,7,290,20.71,Eastlake,50,0,3,2,30,10.00,21
"
Great Valley A",475,9,6,2,290,19.33,Wando A,145,0,5,1,100,20.00,21
"
Darien A",440,6,9,6,290,19.33,Benet Academy,115,0,4,3,90,22.50,23
"
Carbondale",310,2,12,0,160,11.43,St. Vincent-St. Mary,-5,0,1,3,0,0.00,18
"
Ithaca",410,2,12,4,280,20.00,Dunbar A,105,2,2,1,60,15.00,23
"
Beavercreek",430,8,5,4,280,21.54,Johns Creek A,135,1,4,2,90,18.00,22
"
Decatur",335,2,11,3,210,16.15,Mandarin,55,2,0,1,30,15.00,21
"
Cinco Ranch A",380,7,5,1,230,19.17,Harker A,125,2,3,3,80,16.00,20
"
Cistercian A",265,2,9,3,160,14.55,"Troy (Fullerton, CA)",45,0,3,1,20,6.67,18
"
Dutch Fork A",305,2,10,1,180,15.00,Western Dubuque,90,0,4,0,50,12.50,18
"
Silver Spring Scholars A",310,4,6,2,200,20.00,Central Hardin,100,2,2,2,60,15.00,17
"
Detroit Country Day A",405,8,4,3,260,21.67,Centennial B,210,2,6,0,120,15.00,22
"
Manheim Township A",340,4,9,2,200,15.38,McLean B,145,1,4,2,100,20.00,22
"
Solon A",355,9,3,8,230,19.17,Jesuit,165,1,6,0,90,12.86,23
"
Vista Del Lago A",275,1,11,4,170,14.17,Friends Select B,85,1,2,0,50,16.67,23
"
Raleigh Charter",315,6,5,3,190,17.27,Cedar Crest,130,2,3,2,80,16.00,19
"
Chelsea",290,2,10,2,170,14.17,South Burlington,105,2,2,1,60,15.00,20
"
Staples",335,1,11,4,230,19.17,BASIS McLean,155,3,3,2,90,15.00,22
"
Westminster B",280,1,10,3,180,16.36,Edgewood,100,2,3,2,50,10.00,20
"
Johns Creek B",320,3,9,3,200,16.67,Wissahickon,145,1,5,0,80,13.33,19
"
Mira Loma",330,7,4,9,230,20.91,St. Louis Park,160,1,6,1,90,12.86,21
"
Centennial C",235,1,9,2,140,14.00,Farmington Hills Mercy,80,0,7,2,20,2.86,20
"
Southside B",240,0,10,0,140,14.00,Cistercian B,90,0,4,2,60,15.00,17
"
Providence",255,1,10,2,150,13.64,Sparkman,110,1,4,1,60,12.00,20
"
Okemos",325,1,10,4,230,20.91,Livingston,185,4,3,3,110,15.71,22
"
Copley",285,3,9,4,170,14.17,Chamblee Charter,145,2,3,1,90,18.00,21
"
East Chapel Hill A",370,5,6,1,240,21.82,St. Joseph Central A,235,3,5,2,150,18.75,22
"
Cinco Ranch B",255,0,10,1,160,16.00,East Grand Rapids,125,2,5,3,60,8.57,21
"
Great Valley B",210,1,8,3,130,14.44,Berwick,90,0,5,0,40,8.00,17
"
Thomas Jefferson Classical",230,3,7,5,140,14.00,Wayzata F,110,0,6,0,50,8.33,20
"
Northfield",230,1,9,1,130,13.00,Holton,110,1,5,1,50,8.33,19
"
Fletcher",195,3,5,0,100,12.50,Dutch Fork B,80,1,4,3,40,8.00,20
"
Grand Junction A",160,2,7,0,60,6.67,St. Joseph Central B,50,0,4,4,30,7.50,20
"
Darien B",290,3,7,1,180,18.00,Northmont B,180,0,7,0,110,15.71,20
"
Greenhill",325,6,5,5,210,19.09,Northmont A,225,1,8,0,130,14.44,23
"
Westminster A",280,3,7,3,180,18.00,Champlain Valley,185,1,6,2,120,17.14,20
"
Richard Montgomery A",315,6,4,7,220,22.00,Catholic,230,2,8,2,130,13.00,24
"
Glasgow",380,3,9,3,260,21.67,Hopkins,295,4,6,1,180,18.00,23
"
Centennial A",285,3,7,6,200,20.00,Dunbar B,200,1,6,1,130,18.57,21
"
McLean A",350,3,8,3,240,21.82,Eden Prairie A,270,2,8,2,170,17.00,21
"
North Kansas City",190,2,7,0,90,10.00,Wade Hampton,110,0,6,2,60,10.00,18
"
Emmaus",195,1,8,0,100,11.11,Eden Prairie B,115,0,6,5,80,13.33,21
"
Cistercian C",175,2,6,3,100,12.50,Thales Academy-Rolesville,100,0,5,0,50,10.00,17
"
Southside A",260,1,10,3,160,14.55,Mounds Park,190,4,3,2,110,15.71,21
"
Wilton",255,3,6,2,160,17.78,Weston,185,4,2,1,110,18.33,19
"
Detroit Country Day B",145,1,6,0,70,10.00,Wayzata C,75,0,4,3,50,12.50,17
"
Canyon Crest A",240,2,7,4,160,17.78,James E. Taylor,175,1,5,4,130,21.67,17
"
Harker B",170,1,7,3,100,12.50,Arab,105,1,5,0,40,6.67,20
"
Canyon Crest B",170,2,5,2,100,14.29,Oswego East,105,0,6,1,50,8.33,19
"
Loyola Academy",205,1,8,0,110,12.22,Flowery Branch,145,1,5,0,80,13.33,19
"
Silver Spring Scholars B",140,2,5,6,90,12.86,Wayzata G,85,1,3,0,40,10.00,16
"
Grand Junction B",195,1,6,2,130,18.57,Friends Select A,160,2,6,2,80,10.00,21
"
Lake Braddock",170,0,8,0,90,11.25,Myers Park,150,1,6,1,80,11.43,19
"
Coalgate",165,1,7,2,90,11.25,DeLaSalle,145,1,6,2,80,11.43,22
"
Ysleta",115,0,6,1,60,10.00,Wayzata E,100,0,6,0,40,6.67,17
"
Manheim Township B",180,1,6,3,120,17.14,Vista Del Lago B,165,2,5,1,90,12.86,20
"
LAMP",160,1,7,3,90,11.25,Wayzata D,150,1,7,1,70,8.75,20
"
Wando B",110,1,5,1,50,8.33,Johns Creek C,100,0,6,0,40,6.67,19
"
Paideia",275,4,6,1,160,16.00,"Henderson County (Henderson, KY)",270,1,9,3,180,18.00,22
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
James E. Taylor",475,2,13,1,320,21.33,Grand Junction B,30,1,1,3,20,10.00,20
"
Mira Loma",545,9,7,2,350,21.88,Paideia,115,4,0,3,70,17.50,23
"
Lambert",555,11,6,4,350,20.59,Ithaca,140,1,4,1,90,18.00,24
"
Sparkman",380,2,14,2,220,13.75,Northmont B,0,0,0,0,0,0.00,21
"
East Chapel Hill A",490,8,8,2,300,18.75,Chelsea,135,1,4,4,100,20.00,24
"
Central Hardin",350,2,11,2,220,16.92,Grand Junction A,5,1,0,4,10,10.00,20
"
Henderson County (Henderson, KY)",365,0,14,5,250,17.86,Wando B,55,0,3,1,30,10.00,24
"
Harker A",365,2,11,1,230,17.69,Darien B,65,1,3,2,30,7.50,21
"
South Burlington",355,5,10,2,190,12.67,Fletcher,60,1,2,1,30,10.00,23
"
Beavercreek",450,5,10,3,290,19.33,Raleigh Charter,175,0,6,1,120,20.00,21
"
Great Valley A",425,6,7,5,290,22.31,Westminster A,155,0,6,1,100,16.67,20
"
White Station A",380,2,10,2,260,21.67,Canyon Crest A,110,1,5,3,60,10.00,19
"
Northmont A",350,2,12,0,200,14.29,Coalgate,85,1,4,2,40,8.00,21
"
Wayzata A",345,4,8,3,220,18.33,Copley,90,0,4,2,60,15.00,18
"
Detroit Country Day A",365,6,7,5,230,17.69,Lake Braddock,120,0,5,0,70,14.00,19
"
Dunbar B",300,1,11,3,190,15.83,Detroit Country Day B,55,1,1,0,30,15.00,22
"
St. Joseph Central A",345,2,9,1,230,20.91,Manheim Township B,110,0,6,0,50,8.33,21
"
Manheim Township A",380,5,7,1,240,20.00,Saratoga,170,3,3,1,100,16.67,20
"
Wayzata B",330,5,7,5,210,17.50,Centennial B,125,0,5,3,90,18.00,21
"
Wando A",285,3,8,6,190,17.27,Centennial C,85,1,4,0,30,6.00,23
"
Cedar Crest",290,2,10,4,180,15.00,Northfield,95,1,4,2,50,10.00,19
"
Jesuit",270,2,9,4,170,15.45,Ysleta,85,0,5,1,40,8.00,19
"
Richard Montgomery A",365,5,6,6,260,23.64,Wilton,185,3,4,2,110,15.71,23
"
Cinco Ranch A",360,4,9,2,220,16.92,Southside A,185,3,3,4,130,21.67,20
"
Eden Prairie A",340,4,8,2,210,17.50,Decatur,170,3,4,1,90,12.86,20
"
Eden Prairie B",275,0,11,1,170,15.45,Arab,105,2,3,3,60,12.00,20
"
Hopkins",235,2,8,3,140,14.00,Canyon Crest B,75,0,4,3,50,12.50,19
"
Champlain Valley",245,1,10,2,140,12.73,Cistercian C,105,2,3,3,60,12.00,20
"
Wayzata E",180,0,10,2,90,9.00,Flowery Branch,40,0,2,0,20,10.00,21
"
Strake Jesuit B",280,4,6,4,180,18.00,LAMP,145,0,7,1,80,11.43,23
