Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Lusher",490,3,11,1,340,24.29,Haynes Academy,160,2,4,4,110,18.33,20
"
Vandebilt Catholic B",265,0,11,1,160,14.55,C. E. Byrd,10,0,1,0,0,0.00,20
"
Jesuit B",375,3,10,0,230,17.69,Episcopal-Acadiana,155,1,4,4,120,24.00,20
"
Vandebilt Catholic A",205,2,8,1,100,10.00,Caddo Virtual,5,0,1,1,0,0.00,20
"
Caddo Magnet",460,9,3,3,310,25.83,Wilton,265,4,3,1,180,25.71,20
"
TAG Magnet A",345,3,9,0,210,17.50,Archbishop Rummel,195,2,3,1,140,28.00,20
"
TAG Magnet B",235,1,9,2,140,14.00,Wakeland B,90,1,5,1,30,5.00,20
"
St. Paul's A",200,0,9,2,120,13.33,St. Paul's B,60,0,3,0,30,10.00,20
"
Wakeland A",415,8,3,5,290,26.36,Baton Rouge Episcopal A,290,1,7,1,210,26.25,20
"
Jesuit A",360,2,9,2,250,22.73,Baton Rouge Episcopal B,270,3,5,3,190,23.75,20
"
Ben Franklin",290,3,6,1,190,21.11,Howard Middle,250,5,4,1,140,15.56,20
"
Chelsea",370,5,5,1,250,25.00,Catholic,335,3,7,2,230,23.00,20
